鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物)+車位,新竹市新竹市聖軍路121~150號,18.2,商,,,1050419,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040927,146.42000000000002,3,1,2,有,有,6600000,48738,坡道平面,31.52,1000000,,RPSQMLKLNHLFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市聖軍路121~150號,18.21,商,,,1050419,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040927,146.43,3,1,2,有,有,6650000,49169,坡道平面,31.52,1000000,,RPTQMLKLNHLFFAO09CA
新竹市,土地,北門段1111~1140地號,200.0,商,,,1050326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32500000,162500,,0.0,0,,RPOTMLRLNHLFFAO96CA
新竹市,房地(土地+建物),新竹市新竹市經國路二段248巷1~30號,10.8,商,,,1050408,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040529,64.15,2,0,2,有,有,4200000,65472,,0.0,0,,RPPOMLPKQHLFFAO76EA
新竹市,土地,光華段1561~1590地號,9.0,住,,,1050421,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1219860,135540,,0.0,0,向政府機關承購之案件。,RPWOMLQLNHLFFAO37EA
新竹市,房地(土地+建物),新竹市新竹市振興路48巷15弄1~30號,9.83,住,,,1050420,土地1建物1車位0,三層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960416,31.82,1,1,1,有,有,1720000,54054,,0.0,0,,RPXNMLNJNHLFFAO76DA
新竹市,房地(土地+建物),新竹市新竹市城北街137巷2弄1~30號,70.0,住,,,1050402,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,83.72,3,2,2,有,無,8000000,95557,,0.0,0,,RPORMLQLNHLFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市水田街150巷16弄1~30號,77.0,住,,,1050315,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0601227,120.6,7,2,2,有,無,8800000,72968,,0.0,0,含增建3樓之未登記建物，總價買方買清不含稅。,RPPNMLNLNHLFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,17.31,商,,,1050407,土地1建物1車位2,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,228.04000000000002,4,2,2,有,有,17760000,77881,坡道平面,0.0,0,,RPUNMLNLNHLFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,17.31,商,,,1050407,土地1建物1車位2,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,227.07999999999998,4,2,2,有,有,19100000,84111,坡道平面,0.0,0,,RPVNMLNLNHLFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,17.31,商,,,1050414,土地1建物1車位2,八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,227.07999999999998,4,2,2,有,有,17720000,78034,坡道平面,0.0,0,,RPWNMLNLNHLFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,23.68,商,,,1050414,土地1建物1車位2,九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,298.99,4,2,3,有,有,25730000,86056,坡道平面,0.0,0,,RPXNMLNLNHLFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,23.68,商,,,1050407,土地1建物1車位2,十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,298.99,4,2,3,有,有,28780000,96257,坡道平面,0.0,0,,RPOOMLNLNHLFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,24.14,商,,,1050414,土地1建物1車位2,十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,303.04999999999995,4,2,3,有,有,25900000,85464,坡道平面,0.0,0,,RPPOMLNLNHLFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,20.49,商,,,1050414,土地0建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,242.35999999999999,4,2,3,有,有,20230000,83467,坡道平面,0.0,0,,RPQOMLNLNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,13.66,商,,,1050407,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,174.27999999999997,3,2,2,有,有,13800000,79183,坡道平面,0.0,0,,RPROMLNLNHLFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市新莊街266巷1~30號,26.8,住,,,1050323,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831216,129.13,3,2,2,有,有,7950000,61566,坡道平面,0.0,0,,RPPNMLMLNHLFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市崧嶺路25巷1~30號,118.42,住,,,1050407,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031225,225.35,4,2,3,有,有,13000000,57688,,0.0,0,,RPPQMLNLNHLFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市太原路121~150號,34.67,,特定農業區,甲種建築用地,1050407,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031215,159.74,3,2,2,有,有,9550000,59785,坡道平面,36.0,0,,RPQQMLNLNHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,23.23,商,,,1050407,土地1建物1車位4,十五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,331.14,4,2,3,有,有,28780000,86912,坡道平面,0.0,0,,RPPNMLOLNHLFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,14.57,商,,,1050414,土地1建物1車位2,十五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,203.34,3,2,2,有,有,16610000,81686,坡道平面,0.0,0,,RPQNMLOLNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,24.59,商,,,1050407,土地1建物1車位3,十七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,328.04999999999995,4,2,3,有,無,23750000,72398,坡道平面,0.0,0,,RPRNMLOLNHLFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,16.39,商,,,1050414,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,198.98,4,2,2,有,有,17940000,90160,坡道平面,0.0,0,,RPSNMLOLNHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,23.68,商,,,1050407,土地1建物1車位2,十八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,298.99,4,2,3,有,有,28700000,95990,坡道平面,0.0,0,,RPTNMLOLNHLFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路31~60號,44.17,商,,,1050414,土地1建物1車位2,二十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,519.59,4,1,3,有,有,61300000,117978,坡道平面,0.0,0,,RPPNMLPLNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北新街91~120號,7.33,住,,,1050406,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0971230,48.04,2,1,1,有,有,3550000,73897,坡道機械,0.0,0,急買急賣。,RPOPMLRKNHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路175巷1~30號,23.4,其他,,,1050410,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870623,175.26,3,2,2,有,有,8350000,47641,坡道平面,0.0,0,,RPUPMLSKNHLFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路二段173巷2弄1~30號,26.86,住,,,1050310,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860121,111.83000000000001,3,2,2,有,有,6100000,54547,坡道平面,0.0,0,,RPWNMLQKNHLFFAO96CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路92巷31~60號,33.43,住,,,1050323,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041005,223.94,4,2,2,有,有,16880000,75377,升降平面,51.03,0,,RPTNMLPKNHLFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段31~60號,10.07,商,,,1050409,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860520,123.28,3,2,2,有,有,5250000,42586,坡道機械,0.0,0,,RPRPMLMKNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市愛國路31~60號,31.03,商,,,1050327,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0941115,123.99000000000001,3,2,2,有,有,4250000,34277,升降機械,0.0,0,,RPVNMLNKNHLFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市五福路一段19巷23弄1~30號,70.68,,山坡地保育區,丙種建築用地,1050328,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0861012,155.58,3,2,3,有,有,5100000,32781,,0.0,0,,RPOOMLOJNHLFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市忠孝路17巷1~30號,27.32,其他,,,1050314,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041105,98.65,2,2,1,有,有,7880000,79878,升降機械,0.0,0,,RPSPMLOJNHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路91~120號,12.94,商,,,1050422,土地1建物1車位1,二十層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,174.59,4,2,2,有,有,14000000,80188,坡道平面,0.0,0,,RPSOMLPJNHLFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市經國路二段195巷1~30號,4.47,商,,,1050329,土地1建物1車位0,二層,七層,套房(1房1廳1衛),辦公室,見其他登記事項,1020524,50.099999999999994,1,1,1,有,有,2550000,50898,,0.0,0,,RPWNMLOJNHLFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市經國路二段195巷1~30號,15.89,商,,,1050329,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),辦公室,見其他登記事項,1020524,83.01,3,1,3,有,有,5650000,68064,,0.0,0,,SPWNMLOJNHLFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市港北里延平路三段181~210號,31.88,住,,,1050419,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050120,160.41,3,2,2,有,有,6350000,39898,坡道機械,15.79,580000,,RPVOMLPJNHLFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市港北里延平路三段181~210號,31.88,住,,,1050419,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050120,160.41,3,2,2,有,有,7000000,43701,坡道機械,15.79,680000,,RPWOMLPJNHLFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市香村路300巷25弄31~60號,125.1,,山坡地保育區,丙種建築用地,1050418,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950525,185.05,4,1,3,有,有,8200000,44312,,0.0,0,,RPRNMLQJNHLFFAO98CA
新竹市,土地,香雅段781~810地號,61.58,,鄉村區,乙種建築用地,1050412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,32478,,0.0,0,,RPUNMLRJNHLFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路19巷91~120號,19.38,其他,,,1050410,土地3建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980601,208.95999999999998,3,2,2,有,有,15200000,72745,坡道平面,0.0,0,,RPQNMLSJNHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市崇和路1~30號,31.74,住,,,1050406,土地1建物1車位2,四層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040114,279.25,4,2,2,有,有,18900000,67681,坡道平面,29.18,0,,RPQNMLTJNHLFFAO56CA
新竹市,土地,康樂段61~90地號,196.28,農,,,1050423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1187500,6050,,0.0,0,,RPRPMLQJNHLFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市鐵道路一段28巷61~90號,20.01,其他,,,1050419,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000718,148.48,3,2,2,有,有,9000000,60614,坡道平面,0.0,0,,RPROMLTJNHLFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市經國路一段838巷1~30號,21.0,住,,,1050412,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.17,2,2,1,有,無,3700000,49885,,0.0,0,,RPTOMLLKNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段271~300號,27.4,商,,,1050413,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021211,224.37,4,2,2,有,有,12950000,57717,坡道平面,0.0,0,,RPURMLLMNHLFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市園後街91~120號,24.91,住,,,1050320,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790630,112.61,3,2,2,有,無,5900000,52393,,0.0,0,,RPPOMLKKNHLFFAO38CA
新竹市,房地(土地+建物),新竹市新竹市金山北二街61~90號,6.77,住,,,1050415,土地1建物1車位0,四層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950215,31.11,1,1,1,有,有,2300000,73931,,0.0,0,,RPQOMLKKNHLFFAO48CA
新竹市,房地(土地+建物),新竹市新竹市高?路190巷1~30號,18.08,住,,,1050419,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840315,92.63,3,2,2,有,無,3500000,37785,,0.0,0,,RPVNMLTJNHLFFAO07CA
新竹市,房地(土地+建物),新竹市新竹市南大路634巷1~30號,31.74,住,,,1050425,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701118,80.07,3,2,2,有,無,2800000,34969,,0.0,0,,RPTOMLPJNHLFFAO56CA
新竹市,土地,中寮段691~720地號,135.31,農,,,1050423,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,898670,6642,,0.0,0,,RPPPMLMKNHLFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市金山北二街1~30號,35.79,住,,,1050410,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881216,143.13,3,2,2,有,有,9400000,65675,,0.0,0,,RPTNMLQKNHLFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市光復路一段61~90號,14.21,住,,,1050405,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,99.08000000000001,5,0,5,有,有,4800000,48446,,0.0,0,,RPVOMLNKNHLFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市振興路72巷1~30號,21.82,住,,,1050331,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810227,73.96000000000001,2,0,2,有,有,3170000,42861,,0.0,0,,RPWOMLNKNHLFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市中華路一段384巷6弄1~30號,24.87,住,,,1050411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771108,97.41,3,2,2,有,無,4680000,48044,,0.0,0,,RPPNMLPKNHLFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市建功路1~30號,2.97,住,,,1050326,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841222,27.06,1,0,1,有,有,1850000,68367,,0.0,0,,RPQNMLPKNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂三路91~120號,22.55,住,,,1050327,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000501,184.95,4,2,2,有,有,13050000,70560,坡道平面,0.0,0,,RPRNMLPKNHLFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路179巷1~30號,12.98,其他,,,1050409,土地2建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,115.31,3,2,2,有,有,5800000,50299,坡道平面,0.0,0,,RPVPMLSKNHLFFAO27CA
新竹市,房地(土地+建物)+車位,新竹市新竹市新香街331~360號,67.13,,山坡地保育區,丙種建築用地,1050411,土地10建物1車位1,一層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840722,143.35,0,0,1,無,有,2640000,18416,坡道機械,0.0,0,,RPPNMLSKNHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市新香街331~360號,67.13,,山坡地保育區,丙種建築用地,1050411,土地10建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840722,120.84,0,0,1,無,有,2640000,21847,坡道機械,0.0,0,,SPPNMLSKNHLFFAO56CA
新竹市,土地,海埔段301~330地號,4800.03,,特定農業區,農牧用地,1050422,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18150000,3781,,0.0,0,,RPQOMLSKNHLFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市北大路92巷40弄1~30號,27.0,住,,,1050427,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731123,100.35,3,2,2,有,無,3650000,36373,,0.0,0,,RPVNMLKLNHLFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市光華南街10巷1~30號,98.0,住,,,1050324,土地1建物1車位0,一層，二層,二層,店面(店鋪),住家用,加強磚造,0670831,115.66,3,3,3,有,有,10000000,86460,,0.0,0,,RPWNMLKMNHLFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市明湖路1050巷61~90號,13.15,,鄉村區,乙種建築用地,1050412,土地6建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830323,36.06,1,1,1,有,無,1100000,30505,,0.0,0,,RPPNMLQJNHLFFAO88DA
新竹市,房地(土地+建物),新竹市新竹市民生路271~300號,7.98,商,,,1050320,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830122,87.45,3,2,2,有,有,3160000,36135,,0.0,0,,RPXPMLKKNHLFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市自由路95巷18弄1~30號,5.45,商,,,1050331,土地1建物1車位1,四層,八層,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0950415,48.129999999999995,1,1,1,有,有,2600000,54020,升降機械,0.0,0,,RPTNMLQJNHLFFAO56CA
新竹市,土地,和平段751~780地號,8.42,住,,,1050415,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,612000,72684,,0.0,0,,RPUNMLQJNHLFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光華二街72巷31~60號,26.41,住,,,1050331,土地2建物1車位1,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830423,143.85,3,2,2,有,有,5350000,37194,坡道平面,0.0,0,,RPPOMLQJNHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市華北路151~180號,14.8,住,,,1050328,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021025,114.0,2,2,2,有,有,5825000,51096,坡道平面,32.36,0,,RPTOMLKKNHLFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段403巷8弄1~30號,32.81,住,,,1050402,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821110,132.4,3,2,2,有,有,6700000,50604,坡道平面,0.0,0,,RPUPMLQJNHLFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市忠信路1~30號,136.74,住,,,1050406,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970805,194.6,4,2,4,有,無,12000000,61665,,0.0,0,,RPSOMLKKNHLFFAO68CA
新竹市,土地,中寮段691~720地號,0.2,農,,,1050423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1330,0,,0.0,0,,RPQPMLMKNHLFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市南大路359巷1~30號,24.6,住,,,1050406,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0730912,110.9,4,2,1,有,有,4000000,36069,,0.0,0,,RPXOMLKKNHLFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路98巷1~30號,48.26,住,,,1050406,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930915,161.04,3,2,2,有,有,6900000,42846,坡道平面,0.0,0,,RPPPMLKKNHLFFAO48CA
新竹市,房地(土地+建物),新竹市新竹市世傑路1~30號,83.46,住,,,1050331,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0990715,268.09,4,2,3,有,無,17399000,64900,,0.0,0,,RPSPMLKKNHLFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市中山路211~240號,5.93,商,,,1050410,土地1建物1車位0,八層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,37.81,1,1,1,有,有,2800000,74054,,0.0,0,,RPVOMLMKNHLFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路四段271~300號,22.43,住,,,1050323,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040505,158.5,3,2,2,有,有,7600000,47950,坡道平面,0.0,0,,RPQNMLOKNHLFFAO78CA
