編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPKJIMFFBH97CA,17,.00,見其他登記事項,鋼筋混凝土造,89年10月21日,九層,
RPPNMLPKJIMFFBH97CA,17,13.21,見其他登記事項,鋼筋混凝土造,89年10月21日,九層,
RPPNMLPKJIMFFBH97CA,17,89.76,住家用,鋼筋混凝土造,89年10月21日,九層,九層
RPPNMLPKJIMFFBH97CA,17,9.24,見其他登記事項,鋼筋混凝土造,89年10月21日,九層,
RPPNMLPKJIMFFBH97CA,17,3.26,見其他登記事項,鋼筋混凝土造,89年10月21日,九層,
RPPNMLPKJIMFFBH97CA,17,10.88,見其他登記事項,鋼筋混凝土造,89年10月21日,九層,
RPVOMLOKJIMFFBH58CA,1,94.63,見其他登記事項,鋼筋混凝土造,105年4月22日,十三層,五層
RPVOMLOKJIMFFBH58CA,1,63.93,見其他登記事項,鋼筋混凝土造,105年4月22日,十三層,
RPVOMLOKJIMFFBH58CA,1,16.70,見其他登記事項,鋼筋混凝土造,105年4月22日,十三層,
RPOOMLSLJIMFFAH28CA,20,260.79,見其他登記事項,鋼筋混凝土造,86年5月31日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPOOMLSLJIMFFAH28CA,20,2.05,見其他登記事項,鋼筋混凝土造,86年5月31日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPUNMLMJKIMFFAH08CA,5,147.57,住家用,鋼筋混凝土造,101年7月15日,十五層,十層
RPUNMLMJKIMFFAH08CA,5,125.50,見其他登記事項,鋼筋混凝土造,101年7月15日,十五層,
RPWTMLLKKIMFFAH88CA,17,83.76,住家用,鋼筋混凝土造,89年9月15日,七層,四層
RPWTMLLKKIMFFAH88CA,17,11.16,共有部份,鋼筋混凝土造,89年9月15日,七層,
RPWTMLLKKIMFFAH88CA,17,18.39,共有部份,鋼筋混凝土造,89年9月15日,九層,
RPWTMLLKKIMFFAH88CA,17,32.77,共有部份,鋼筋混凝土造,89年9月15日,九層,
RPWTMLLKKIMFFAH88CA,17,.05,見其他登記事項,鋼筋混凝土造,89年9月15日,九層,一層
RPQOMLMKKIMFFAH87CA,23,43.14,住家用,鋼筋混凝土造,84年2月20日,十二層,六層
RPQOMLMKKIMFFAH87CA,23,5.64,共有部份,鋼筋混凝土造,84年2月20日,十二層,
RPQOMLMKKIMFFAH87CA,23,3.46,共有部份,鋼筋混凝土造,84年2月20日,十二層,
RPTPMLRKJIMFFBH78CA,27,122.27,住家用,鋼筋混凝土造,79年5月24日,六層,四層
RPTPMLRKJIMFFBH78CA,27,15.08,共有部分,鋼筋混凝土造,79年5月24日,六層,
RPTTMLQKJIMFFBH09CA,2,390.80,見其他登記事項,鋼筋混凝土造,105年4月22日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLSJKIMFFAH48CA,1,212.21,住家用,鋼筋混凝土造,106年3月22日,二十三層,十七層
RPSNMLSJKIMFFAH48CA,1,189.47,見其他登記事項,鋼筋混凝土造,106年3月22日,二十三層,
RPXOMLNLJIMFFBH78CA,23,91.73,住家用,鋼筋混凝土造,83年8月26日,九層,五層
RPXOMLNLJIMFFBH78CA,23,3.10,共有部分,鋼筋混凝土造,83年8月26日,九層,
RPXOMLNLJIMFFBH78CA,23,12.50,共有部分,鋼筋混凝土造,83年8月26日,九層,
RPWOMLNLJIMFFBH68CA,4,67.89,見其他登記事項,鋼筋混凝土造,102年6月5日,十五層,十二層
RPWOMLNLJIMFFBH68CA,4,64.52,見其他登記事項,鋼筋混凝土造,102年6月5日,十五層,
RPWRMLTLJIMFFBH96CA,3,103.52,見其他登記事項,鋼筋混凝土造,103年7月21日,十五層,八層
RPWRMLTLJIMFFBH96CA,3,53.63,見其他登記事項,鋼筋混凝土造,103年7月21日,十五層,
RPWRMLTLJIMFFBH96CA,3,17.05,見其他登記事項,鋼筋混凝土造,103年7月21日,十五層,
RPWNMLSLJIMFFBH09CA,2,349.90,見其他登記事項,鋼筋混凝土造,103年11月25日,四層,一層 二層 三層 四層 地下一層 見其他登記事項
RPWNMLSLJIMFFBH09CA,2,40.65,見其他登記事項,鋼筋混凝土造,103年11月25日,四層,
RPXRMLKMJIMFFBH88CA,,9.54,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPXRMLKMJIMFFBH88CA,,45.61,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十二層
RPXRMLKMJIMFFBH88CA,,44.29,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPQSMLKMJIMFFBH28CA,,43.82,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十三層
RPQSMLKMJIMFFBH28CA,,9.17,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPQSMLKMJIMFFBH28CA,,43.89,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPTSMLKMJIMFFBH58CA,,9.21,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPTSMLKMJIMFFBH58CA,,44.03,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,四層
RPTSMLKMJIMFFBH58CA,,11.11,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPUSMLKMJIMFFBH68CA,,9.21,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPUSMLKMJIMFFBH68CA,,44.03,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十二層
RPUSMLKMJIMFFBH68CA,,43.89,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPXSMLKMJIMFFBH98CA,,69.64,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十二層
RPXSMLKMJIMFFBH98CA,,14.39,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPXSMLKMJIMFFBH98CA,,50.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPSSMLKMJIMFFBH48CA,,9.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPSSMLKMJIMFFBH48CA,,44.17,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十一層
RPSSMLKMJIMFFBH48CA,,43.89,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPRSMLKMJIMFFBH38CA,,9.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPRSMLKMJIMFFBH38CA,,44.17,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十層
RPRSMLKMJIMFFBH38CA,,43.89,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPWSMLKMJIMFFBH88CA,,16.19,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPWSMLKMJIMFFBH88CA,,91.69,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十一層
RPWSMLKMJIMFFBH88CA,,55.71,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPVSMLKMJIMFFBH78CA,,16.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPVSMLKMJIMFFBH78CA,,89.49,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,十三層
RPVSMLKMJIMFFBH78CA,,55.71,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPOTMLKMJIMFFBH18CA,,9.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPOTMLKMJIMFFBH18CA,,44.17,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,五層
RPOTMLKMJIMFFBH18CA,,11.11,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPROMLLJKIMFFBH87CA,,55.71,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPROMLLJKIMFFBH87CA,,89.49,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,八層
RPROMLLJKIMFFBH87CA,,16.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPVNMLLJKIMFFBH18CA,,50.20,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPVNMLLJKIMFFBH18CA,,69.64,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,五層
RPVNMLLJKIMFFBH18CA,,14.39,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPSTMLKMJIMFFBH58CA,,16.17,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPSTMLKMJIMFFBH58CA,,89.29,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,八層
RPSTMLKMJIMFFBH58CA,,55.64,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPQTMLKMJIMFFBH38CA,,14.19,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPQTMLKMJIMFFBH38CA,,68.10,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,六層
RPQTMLKMJIMFFBH38CA,,49.96,見其他登記事項,鋼筋混凝土造,106年9月22日,十四層,
RPPTMLKMJIMFFBH28CA,36,20.52,住家用,鋼筋混凝土造,70年12月22日,十二層,九層
RPPTMLKMJIMFFBH28CA,36,1.33,共有部分,鋼筋混凝土造,70年12月22日,十二層,
RPPTMLKMJIMFFBH28CA,36,6.44,共有部分,鋼筋混凝土造,70年12月22日,十二層,
RPPTMLKMJIMFFBH28CA,36,.46,共有部分,鋼筋混凝土造,70年12月22日,十二層,
RPQOMLQJKIMFFBH28CA,21,38.28,住家用,鋼筋混凝土造,85年4月18日,十四層,五層
RPQOMLQJKIMFFBH28CA,21,6.02,共有部分,鋼筋混凝土造,85年4月18日,十四層,
RPQOMLQJKIMFFBH28CA,21,4.48,共有部分,鋼筋混凝土造,85年4月18日,十四層,
RPPPMLQJKIMFFBH28CA,16,68.12,住家用,鋼筋混凝土造,90年8月30日,二十二層,十一層
RPPPMLQJKIMFFBH28CA,16,2.33,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPPPMLQJKIMFFBH28CA,16,15.99,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPPPMLQJKIMFFBH28CA,16,1.73,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPPPMLQJKIMFFBH28CA,16,46.31,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPOPMLNKJIMFFDH08CA,22,204.37,住家用,鋼筋混凝土造,84年6月26日,三層,一層 二層 三層 屋頂突出物
RPOPMLNKJIMFFDH08CA,22,.29,見其他登記事項,鋼筋混凝土造,84年6月26日,一層,
RPRPMLQJNHOFFBH88CA,,208.24,見其他登記事項,鋼筋混凝土造,106年6月15日,五層,一層 二層 三層 四層 五層
RPRPMLQJNHOFFBH88CA,,.42,見其他登記事項,鋼筋混凝土造,106年6月15日,一層,
RPVOMLQJKIMFFBH78CA,2,114.75,見其他登記事項,鋼筋混凝土造,104年5月15日,十二層,八層
RPVOMLQJKIMFFBH78CA,2,139.02,見其他登記事項,鋼筋混凝土造,104年5月15日,十二層,
RPSOMLPJKIMFFBH38CA,2,162.45,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,十層
RPSOMLPJKIMFFBH38CA,2,30.16,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,
RPSOMLPJKIMFFBH38CA,2,86.03,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,
RPTOMLPJKIMFFBH48CA,2,162.45,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,七層
RPTOMLPJKIMFFBH48CA,2,30.16,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,
RPTOMLPJKIMFFBH48CA,2,62.35,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,
RPROMLPJKIMFFBH28CA,2,158.93,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,十四層
RPROMLPJKIMFFBH28CA,2,29.49,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,
RPROMLPJKIMFFBH28CA,2,61.57,見其他登記事項,鋼筋混凝土造,105年2月20日,二十一層,
RPUPMLLLJIMFFDH58CA,1,67.23,住家用,鋼筋混凝土造,105年9月1日,十五層,五層
RPUPMLLLJIMFFDH58CA,1,50.20,見其他登記事項,鋼筋混凝土造,105年9月1日,十五層,
RPUPMLLLJIMFFDH58CA,1,12.85,見其他登記事項,鋼筋混凝土造,105年9月1日,十五層,
RPVNMLSLJIMFFDH56CA,2,212.08,見其他登記事項,鋼筋混凝土造,105年2月19日,三層,一層 二層 三層 地下一層 見其他登記事項
RPVNMLSLJIMFFDH56CA,2,31.99,見其他登記事項,鋼筋混凝土造,105年2月19日,十一層,
RPWNMLSLJIMFFDH66CA,2,94.47,住家用,鋼筋混凝土造,105年2月19日,十一層,五層
RPWNMLSLJIMFFDH66CA,2,26.24,見其他登記事項,鋼筋混凝土造,105年2月19日,十一層,
RPWNMLSLJIMFFDH66CA,2,17.68,見其他登記事項,鋼筋混凝土造,105年2月19日,十一層,
RPOOMLMKJHNFFBH67CA,1,68.72,見其他登記事項,鋼筋混凝土造,105年10月3日,十五層,八層
RPOOMLMKJHNFFBH67CA,1,65.69,見其他登記事項,鋼筋混凝土造,105年10月3日,十五層,
RPTNMLLLJIMFFEH38CA,22,30.73,共有部份,鋼筋混凝土造,85年2月10日,四層,
RPTNMLLLJIMFFEH38CA,22,239.42,住家用,鋼筋混凝土造,85年2月10日,四層,一層 二層 三層 四層 地下層
RPVNMLPJKIMFFDH78CA,1,310.78,見其他登記事項,鋼筋混凝土造,106年2月16日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLKLJIMFFDH38CA,1,67.07,見其他登記事項,鋼筋混凝土造,105年8月11日,十四層,
RPVNMLKLJIMFFDH38CA,1,90.70,住家用,鋼筋混凝土造,105年8月11日,十四層,十二層
RPVNMLOKJIMFFFH88CA,28,1520.15,見其他登記事項,鋼筋混凝土造,78年4月18日,三層,一層 二層 三層 屋頂突出物 地下層
RPRPMLNLJIMFFEH58CA,,248.24,見其他登記事項,鋼筋混凝土造,106年6月19日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPRPMLNLJIMFFEH58CA,,.36,共有部份,鋼筋混凝土造,106年6月19日,一層,
RPROMLNLJIMFFEH48CA,,226.99,見其他登記事項,鋼筋混凝土造,106年6月19日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPROMLNLJIMFFEH48CA,,.33,共有部份,鋼筋混凝土造,106年6月19日,一層,
RPWNMLOKJIMFFFH98CA,28,1252.38,見其他登記事項,鋼筋混凝土造,79年1月19日,三層,一層 二層 三層 地下層
RPUNMLKLJIMFFDH28CA,1,67.07,見其他登記事項,鋼筋混凝土造,105年8月11日,十四層,
RPUNMLKLJIMFFDH28CA,1,90.70,住家用,鋼筋混凝土造,105年8月11日,十四層,二層
RPOOMLQKJIMFFFH48CA,1,130.81,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,十六層
RPOOMLQKJIMFFFH48CA,1,75.46,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,
RPVNMLQKJIMFFFH09CA,1,130.81,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,十七層
RPVNMLQKJIMFFFH09CA,1,92.14,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,
RPXNMLPKJIMFFFH56CA,21,94.29,住家用,鋼筋混凝土造,85年10月9日,十三層,四層
RPXNMLPKJIMFFFH56CA,21,12.00,共有部分,鋼筋混凝土造,85年10月9日,十三層,
RPXNMLPKJIMFFFH56CA,21,3.96,共有部分,鋼筋混凝土造,85年10月9日,十三層,
RPXNMLPKJIMFFFH56CA,21,14.97,共有部分,鋼筋混凝土造,85年10月9日,十三層,
RPTOMLRLJIMFFDH98CA,9,163.28,住家用,鋼筋混凝土造,98年4月9日,四層,一層 二層 三層 四層
RPROMLQKJIMFFFH78CA,1,130.78,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,二十三層
RPROMLQKJIMFFFH78CA,1,75.43,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,
RPQOMLLKKIMFFEH18CA,16,80.05,住家用,鋼筋混凝土造,90年12月21日,十一層,十一層
RPQOMLLKKIMFFEH18CA,16,13.27,共有部份,鋼筋混凝土造,90年12月21日,十一層,
RPQOMLLKKIMFFEH18CA,16,13.44,共有部份,鋼筋混凝土造,90年12月21日,十一層,
RPSOMLQKJIMFFFH88CA,1,130.81,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,十五層
RPSOMLQKJIMFFFH88CA,1,75.46,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,
RPQOMLQKJIMFFFH68CA,1,130.81,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,二十三層
RPQOMLQKJIMFFFH68CA,1,75.46,見其他登記事項,鋼筋混凝土造,105年9月20日,二十五層,
RPPOMLKLJIMFFFH08CA,37,97.17,住家用,加強磚造,69年12月30日,二層,一層 二層
RPWOMLSLJIMFFFH96CA,3,88.89,住家用,鋼筋混凝土造,103年12月10日,十三層,九層
RPWOMLSLJIMFFFH96CA,3,20.78,見其他登記事項,鋼筋混凝土造,103年12月10日,十三層,
RPWOMLSLJIMFFFH96CA,3,80.49,見其他登記事項,鋼筋混凝土造,103年12月10日,十三層,
RPRPMLPJKIMFFFH78CA,18,93.84,住家用,鋼筋混凝土造,88年11月25日,十三層,七層
RPRPMLPJKIMFFFH78CA,18,18.95,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPRPMLPJKIMFFFH78CA,18,23.45,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPQNMLPKJIMFFGH58CA,10,207.14,見其他登記事項,鋼筋混凝土造,97年1月24日,五層,一層 二層 三層 四層 五層
RPQNMLPKJIMFFGH58CA,10,.79,共有部份,鋼筋混凝土造,97年1月24日,一層,
RPPNMLOJKIMFFFH28CA,39,114.35,住家用,加強磚造,68年3月6日,二層,一層 二層 騎樓
RPPNMLRKJIMFFGH68CA,26,271.35,住商用,鋼筋混凝土造,81年2月21日,十三層,三層
RPPNMLRKJIMFFGH68CA,26,83.01,共有部份,鋼筋混凝土造,81年2月21日,十三層,
RPPNMLRKJIMFFGH68CA,26,247.39,住商用,鋼筋混凝土造,81年2月21日,十三層,三層
RPPNMLRKJIMFFGH68CA,26,83.01,共有部份,鋼筋混凝土造,81年2月21日,十三層,
RPPNMLRKJIMFFGH68CA,26,14.56,見其他登記事項,鋼筋混凝土造,81年2月21日,十三層,地下二層
RPQNMLQJKIMFFFH58CA,21,78.05,住家用,鋼筋混凝土造,85年8月3日,十七層,二層
RPQNMLQJKIMFFFH58CA,21,16.25,共有部分,鋼筋混凝土造,85年8月3日,十七層,
RPQNMLQJKIMFFFH58CA,21,6.66,共有部分,鋼筋混凝土造,85年8月3日,十七層,
RPQNMLKKKIMFFFH08CA,37,84.06,住家用,鋼筋混凝土造,69年10月1日,五層,五層 陽台
RPPNMLSKJIMFFFH68CA,19,64.27,住家用,鋼骨鋼筋混凝土造,87年7月29日,十九層,十四層
RPPNMLSKJIMFFFH68CA,19,3.08,見其他登記事項,鋼骨鋼筋混凝土造,87年7月29日,十九層,一層 地下一層 地下二層
RPPNMLSKJIMFFFH68CA,19,11.03,共有部分,鋼骨鋼筋混凝土造,87年7月29日,十九層,
RPPNMLSKJIMFFFH68CA,19,6.04,共有部分,鋼骨鋼筋混凝土造,87年7月29日,十九層,
RPVNMLQKJIMFFHH66CA,12,210.99,見其他登記事項,鋼筋混凝土造,94年10月6日,三層,一層 二層 三層 屋頂突出物 地下層
RPVNMLQKJIMFFHH66CA,12,21.37,共有部份,鋼筋混凝土造,94年10月6日,三層,
RPPOMLNKJIMFFHH48CA,22,.71,共有部份,鋼筋混凝土造,85年2月14日,五層,
RPPOMLNKJIMFFHH48CA,22,57.38,住家用,鋼筋混凝土造,85年2月14日,五層,一層
RPPOMLNKJIMFFHH48CA,22,2.82,共有部份,鋼筋混凝土造,85年2月14日,五層,
RPPOMLNKJIMFFHH48CA,22,8.11,共有部份,鋼筋混凝土造,85年2月14日,五層,
RPPOMLNKJIMFFHH48CA,22,35.12,共有部份,鋼筋混凝土造,85年2月14日,五層,
RPPOMLNKJIMFFHH48CA,21,.02,住家用,鋼筋混凝土造,85年4月20日,六層,一層
RPPOMLNKJIMFFHH48CA,21,.00,共有部份,鋼筋混凝土造,85年4月20日,六層,
RPPOMLNKJIMFFHH48CA,21,1.72,共有部份,鋼筋混凝土造,85年4月20日,六層,
RPPOMLNKJIMFFHH48CA,21,.74,共有部份,鋼筋混凝土造,85年4月20日,六層,
RPSNMLKLJIMFFHH48CA,11,24.56,見其他登記事項,鋼筋混凝土造,95年7月12日,五層,三層
RPSNMLKLJIMFFHH48CA,11,3.13,共有部份,鋼筋混凝土造,95年7月12日,五層,
RPSNMLKLJIMFFHH48CA,11,6.69,共有部份,鋼筋混凝土造,95年7月12日,五層,
RPXNMLOLJIMFFFH56CA,38,128.25,住家用,鋼筋混凝土造,68年5月10日,三層,一層 二層 三層 騎樓
RPTOMLLJKIMFFFH48CA,2,76.51,見其他登記事項,鋼筋混凝土造,104年12月3日,十四層,十一層
RPTOMLLJKIMFFFH48CA,2,14.66,見其他登記事項,鋼筋混凝土造,104年12月3日,十四層,
RPTOMLLJKIMFFFH48CA,2,52.79,見其他登記事項,鋼筋混凝土造,104年12月3日,十四層,
RPQNMLMLJIMFFHH48CA,3,60.95,住家用,鋼筋混凝土造,103年4月3日,十三層,三層
RPQNMLMLJIMFFHH48CA,3,55.10,見其他登記事項,鋼筋混凝土造,103年4月3日,十三層,
RPVNMLOKJIMFFHH09CA,21,214.70,見其他登記事項,鋼筋混凝土造,85年5月2日,三層,一層 二層 三層 屋頂突出物 地下層
RPSPMLMLJIMFFHH88CA,,58.38,住家用,鋼筋混凝土造,106年7月27日,十四層,七層
RPSPMLMLJIMFFHH88CA,,42.37,見其他登記事項,鋼筋混凝土造,106年7月27日,十四層,
RPPNMLMLJIMFFHH38CA,31,239.60,住家用,鋼筋混凝土造,75年9月10日,二層,一層 二層
RPQOMLKLJIMFFAH77DA,20,71.81,住家用,鋼筋混凝土造,86年11月28日,二十五層,十九層
RPQOMLKLJIMFFAH77DA,20,8.21,共有部份,鋼筋混凝土造,86年11月28日,二十五層,
RPQOMLKLJIMFFAH77DA,20,46.11,共有部份,鋼筋混凝土造,86年11月28日,二十五層,
RPROMLKLJIMFFAH87DA,12,84.40,住家用,鋼筋混凝土造,94年8月19日,九層,三層
RPROMLKLJIMFFAH87DA,12,52.96,共有部份,鋼筋混凝土造,94年8月19日,十層,
RPWNMLOKJIMFFAH58DA,10,51.25,住家用,鋼筋混凝土造,96年8月19日,十二層,十二層
RPWNMLOKJIMFFAH58DA,10,23.14,共有部份,鋼筋混凝土造,96年8月19日,十二層,
RPOOMLPKJIMFFGH58DA,23,79.91,共有部份,鋼筋混凝土造,83年5月6日,六層,
RPUNMLOKJIMFFEH78DA,38,63.94,住家用,鋼筋混凝土造,68年8月29日,三層,一層
RPOPMLLLJIMFFFH28DA,2,61.18,住家用,鋼筋混凝土造,104年8月21日,十一層,四層
RPOPMLLLJIMFFFH28DA,2,57.19,見其他登記事項,鋼筋混凝土造,104年8月21日,十一層,
RPSNMLNLJIMFFAH18DA,13,129.33,住家用,鋼筋混凝土造,93年12月30日,十一層,十層
RPSNMLNLJIMFFAH18DA,13,47.12,共有部份,鋼筋混凝土造,93年12月30日,十一層,
RPSNMLNLJIMFFAH18DA,13,14.71,共有部份,鋼筋混凝土造,93年12月30日,十一層,
RPQNMLKMJIMFFHH38CA,38,102.69,住家用,鋼筋混凝土造,69年3月25日,五層,五層 陽台
RPQNMLRKJIMFFEH78EA,23,21.10,農舍,鋼造,83年6月28日,一層,一層
RPUOMLMLJIMFFHH09DA,2,112.35,住家用,鋼筋混凝土造,104年10月5日,十五層,七層
RPUOMLMLJIMFFHH09DA,2,95.47,見其他登記事項,鋼筋混凝土造,104年10月5日,十五層,
RPOOMLLLJIMFFEH08DA,21,33.41,住家用,鋼筋混凝土造,86年1月22日,二十七層,十五層
RPOOMLLLJIMFFEH08DA,21,13.64,共有部份,鋼筋混凝土造,86年1月22日,二十七層,
RPSOMLKLKIMFFAH18EA,15,61.28,住家用,鋼筋混凝土造,91年6月12日,九層,九層
RPSOMLKLKIMFFAH18EA,15,.10,見其他登記事項,鋼筋混凝土造,91年6月12日,九層,一層
RPSOMLKLKIMFFAH18EA,15,20.98,共有部份,鋼筋混凝土造,91年6月12日,九層,
