編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLQKNHMFFAB97CA,22,27.15,見其他登記事項,鋼筋混凝土造,84年3月15日,二十二層,
RPUPMLQKNHMFFAB38CA,3,123.30,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,七層
RPUPMLQKNHMFFAB38CA,3,34.41,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPUPMLQKNHMFFAB38CA,3,72.40,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPXPMLMKNHMFFAB28CA,,88.18,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,六層
RPXPMLMKNHMFFAB28CA,,75.11,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPXPMLMKNHMFFAB28CA,,.41,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPPQMLMKNHMFFAB57CA,,92.22,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,十三層
RPPQMLMKNHMFFAB57CA,,77.19,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPPQMLMKNHMFFAB57CA,,.41,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPUNMLMKNHMFFAB77CA,,101.31,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,二十四層
RPUNMLMKNHMFFAB77CA,,46.81,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPUNMLMKNHMFFAB77CA,,28.28,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPXNMLTKNHMFFAB78CA,23,75.29,住家用,鋼筋混凝土造,83年7月2日,十三層,八層
RPXNMLTKNHMFFAB78CA,23,18.22,見其他登記事項,鋼筋混凝土造,83年7月2日,十三層,
SPUNMLMKNHMFFAB87CA,,101.31,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,八層
RPOOMLMKNHMFFAB27CA,3,101.31,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,十層
SPUNMLMKNHMFFAB87CA,,46.81,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
SPUNMLMKNHMFFAB87CA,,28.28,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPOOMLMKNHMFFAB27CA,3,46.81,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPOOMLMKNHMFFAB27CA,3,28.28,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPOQMLMKNHMFFAB47CA,,87.90,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,十一層
RPOQMLMKNHMFFAB47CA,,74.94,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPOQMLMKNHMFFAB47CA,,.41,見其他登記事項,鋼筋混凝土造,105年12月12日,十五層,
RPQOMLMKNHMFFAB47CA,3,123.30,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,十一層
RPQOMLMKNHMFFAB47CA,3,75.71,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPQOMLMKNHMFFAB47CA,3,34.41,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPXNMLMKNHMFFAB08CA,3,101.45,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,九層
RPXNMLMKNHMFFAB08CA,3,46.88,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPXNMLMKNHMFFAB08CA,3,28.32,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPPNMLTKNHMFFAB97CA,17,115.83,見其他登記事項,鋼筋混凝土造,89年8月15日,十六層,十層
RPPNMLTKNHMFFAB97CA,17,23.76,見其他登記事項,鋼筋混凝土造,89年8月15日,十六層,
RPPNMLTKNHMFFAB97CA,17,20.61,見其他登記事項,鋼筋混凝土造,89年8月15日,十六層,
RPXPMLQKNHMFFAB68CA,3,100.35,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,八層
RPXPMLQKNHMFFAB68CA,3,46.58,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPXPMLQKNHMFFAB68CA,3,28.00,見其他登記事項,鋼筋混凝土造,106年2月13日,二十四層,
RPQNMLMJNHMFFBB37CA,37,101.23,住家用,鋼筋混凝土造,69年1月11日,七層,七層
RPQNMLMJNHMFFBB37CA,37,19.06,共有部份,鋼筋混凝土造,69年1月11日,七層,
RPQPMLPJNHMFFBB87CA,37,117.54,住商用,加強磚造,69年2月1日,二層,一層 二層 騎樓
RPTOMLOJNHMFFBB97CA,1,83.58,見其它登記事項,鋼筋混凝土造,104年12月28日,十四層,四層
RPTOMLOJNHMFFBB97CA,1,16.77,見其它登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPTOMLOJNHMFFBB97CA,1,47.00,見其它登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPPOMLSJNHMFFBB97CA,18,1.86,見其它登記事項,鋼筋混凝土造,88年9月9日,七層,
RPPOMLSJNHMFFBB97CA,18,213.74,見其它登記事項,鋼筋混凝土造,88年9月7日,五層,一層 二層 三層 四層 五層
RPPOMLSJNHMFFBB97CA,18,1.53,共有部份,鋼筋混凝土造,88年9月9日,七層,
RPPOMLSJNHMFFBB97CA,18,.06,見其它登記事項,鋼筋混凝土造,88年9月7日,一層,
RPPOMLSJNHMFFBB97CA,18,.71,共有部份,鋼筋混凝土造,88年9月9日,七層,
RPSQMLPJNHMFFBB18CA,24,63.18,住家用,鋼筋混凝土造,81年12月5日,七層,六層
RPSQMLPJNHMFFBB18CA,24,16.43,共有部份,鋼筋混凝土造,81年12月5日,七層,
RPWNMLMJNHMFFBB97CA,20,65.41,住家用,鋼筋混凝土造,86年6月28日,十五層,四層
RPWNMLMJNHMFFBB97CA,20,8.64,共有部份,鋼筋混凝土造,86年6月28日,十五層,
RPWNMLMJNHMFFBB97CA,20,23.47,共有部份,鋼筋混凝土造,86年6月28日,十五層,
RPTRMLQLNHMFFAB58CA,15,108.37,見其他登記事項,鋼筋混凝土造,90年10月8日,八層,八層
RPTRMLQLNHMFFAB58CA,15,43.29,共有部份,鋼筋混凝土造,90年10月8日,八層,
RPQNMLKLNHMFFAB27CA,,34.65,住家用,見其他登記事項,,一層,一層
RPRNMLKKNHMFFBB37CA,24,108.21,住家用,鋼筋混凝土造,82年8月31日,十二層,十二層
RPRNMLKKNHMFFBB37CA,24,32.36,共有部份,鋼筋混凝土造,82年8月31日,十三層,
RPRNMLKKNHMFFBB37CA,24,16.63,見其它登記事項,鋼筋混凝土造,82年8月31日,十三層,
RPXOMLSJNHMFFBB78CA,24,100.31,住家用,鋼筋混凝土造,82年9月24日,十六層,十四層
RPXOMLSJNHMFFBB78CA,24,11.10,共有部份,鋼筋混凝土造,82年9月24日,十六層,
RPXOMLSJNHMFFBB78CA,24,17.49,共有部份,鋼筋混凝土造,82年9月24日,十六層,
RPURMLKKNHMFFBB08CA,27,109.27,住家用,鋼筋混凝土造,79年3月3日,七層,七層
RPURMLKKNHMFFBB08CA,27,20.00,共有部份,鋼筋混凝土造,79年3月3日,七層,
RPURMLKKNHMFFBB08CA,27,24.79,見其它登記事項,鋼筋混凝土造,79年3月3日,七層,
RPUPMLKKNHMFFBB87CA,1,70.92,見其它登記事項,鋼筋混凝土造,104年11月4日,十二層,
RPUPMLKKNHMFFBB87CA,1,96.46,見其它登記事項,鋼筋混凝土造,104年11月4日,十二層,六層
RPSOMLLKNHMFFBB67CA,25,125.59,住家用,鋼筋混凝土造,80年10月28日,十三層,七層
RPSOMLLKNHMFFBB67CA,25,5.45,共有部份,鋼筋混凝土造,80年10月28日,十三層,
RPSOMLLKNHMFFBB67CA,25,8.54,商業用,鋼筋混凝土造,80年10月28日,十三層,
RPSOMLLKNHMFFBB67CA,25,.08,共有部份,鋼筋混凝土造,80年10月28日,十三層,
RPTPMLTJNHMFFBB58CA,1,94.22,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,十二層
RPTPMLTJNHMFFBB58CA,1,62.56,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,
RPTPMLTJNHMFFBB58CA,1,17.27,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,
RPTNMLTJNHMFFBB38CA,26,29.40,住家用,鋼筋混凝土造,80年9月30日,七層,三層
RPTNMLTJNHMFFBB38CA,26,9.93,共有部份,鋼筋混凝土造,80年9月30日,七層,
RPXNMLSKNHMFFBB78CA,33,69.92,住家用,鋼筋混凝土造,72年10月28日,五層,四層
RPXNMLSKNHMFFBB78CA,33,8.26,共有部份,鋼筋混凝土造,72年10月28日,五層,
RPURMLTKNHMFFBB98CA,18,157.47,見其它登記事項,鋼筋混凝土造,87年12月16日,五層,五層 夾層
RPURMLTKNHMFFBB98CA,18,48.65,共有部份,鋼筋混凝土造,87年12月16日,五層,
RPUNMLKLNHMFFBB77CA,,113.07,見其它登記事項,鋼筋混凝土造,105年11月18日,二十一層,八層
RPUNMLKLNHMFFBB77CA,,119.07,見其它登記事項,鋼筋混凝土造,105年11月18日,二十一層,
RPXOMLMLNHMFFBB38CA,3,367.16,見其它登記事項,鋼筋混凝土造,103年9月24日,四層,一層 二層 三層 四層 見其它登記事項
RPXOMLQKNHMFFBB68CA,24,78.77,住家用,鋼筋混凝土造,82年6月19日,六層,二層
RPXOMLQKNHMFFBB68CA,24,34.86,共有部份,鋼筋混凝土造,82年6月19日,六層,
RPOPMLTKNHMFFBB18CA,32,114.99,住家用,鋼筋混凝土造,74年2月16日,二層,一層 二層 夾層
RPQPMLLKNHMFFBB57CA,4,89.95,住家用,鋼筋混凝土造,102年9月27日,十三層,四層
RPQPMLLKNHMFFBB57CA,4,42.16,見其它登記事項,鋼筋混凝土造,102年9月27日,十四層,
RPQPMLLKNHMFFBB57CA,4,20.02,見其它登記事項,鋼筋混凝土造,102年9月27日,十四層,
RPPQMLRKNHMFFBB18CA,32,93.00,住家用,鋼筋混凝土造,74年7月13日,十二層,六層
RPPQMLRKNHMFFBB18CA,32,5.46,共有部份,鋼筋混凝土造,74年7月13日,十二層,
RPQNMLMKNHMFFBB47CA,2,392.25,見其它登記事項,鋼筋混凝土造,103年10月8日,五層,一層 二層 三層 四層 五層 見其它登記事項
RPPQMLOLNHMFFBB97CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,四層
RPPQMLOLNHMFFBB97CA,,85.31,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPQQMLOLNHMFFBB08CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,五層
RPQQMLOLNHMFFBB08CA,,82.04,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPXPMLOLNHMFFBB68CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,三層
RPXPMLOLNHMFFBB68CA,,82.04,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPUPMLOLNHMFFBB38CA,,104.15,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,二層
RPUPMLOLNHMFFBB38CA,,76.16,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPOQMLOLNHMFFBB87CA,,108.23,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,四層
RPOQMLOLNHMFFBB87CA,,78.08,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPRQMLOLNHMFFBB18CA,,110.55,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,五層
RPRQMLOLNHMFFBB18CA,,79.15,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPVPMLOLNHMFFBB48CA,,110.55,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,三層
RPVPMLOLNHMFFBB48CA,,79.15,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPQRMLPLNHMFFBB28CA,,108.23,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,九層
RPQRMLPLNHMFFBB28CA,,78.08,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPTOMLOLNHMFFBB18CA,36,117.80,工商用,加強磚造,70年2月2日,二層,一層 二層
RPXQMLPLNHMFFBB88CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,六層
RPXQMLPLNHMFFBB88CA,,112.45,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPUQMLPLNHMFFBB58CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,八層
RPVRMLPLNHMFFBB78CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,十一層
RPUQMLPLNHMFFBB58CA,,112.45,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPVRMLPLNHMFFBB78CA,,112.45,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPURMLPLNHMFFBB68CA,,104.93,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,十層
RPURMLPLNHMFFBB68CA,,76.54,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPWQMLPLNHMFFBB78CA,,104.93,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,八層
RPWQMLPLNHMFFBB78CA,,76.49,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPTRMLPLNHMFFBB58CA,,104.93,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,九層
RPSRMLPLNHMFFBB48CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,九層
RPTRMLPLNHMFFBB58CA,,76.54,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPSRMLPLNHMFFBB48CA,,85.31,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPOTMLPLNHMFFBB28CA,45,108.31,商業用,加強磚造,61年1月7日,二層,一層 二層 騎樓
RPWRMLPLNHMFFBB88CA,,123.70,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,十二層
RPWRMLPLNHMFFBB88CA,,112.45,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPUNMLRLNHMFFBB48CA,9,228.92,見其它登記事項,鋼筋混凝土造,97年1月17日,五層,一層 二層 三層 四層 五層
RPOSMLPLNHMFFBB18CA,,110.55,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,十三層
RPOSMLPLNHMFFBB18CA,,75.88,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPQSMLPLNHMFFBB38CA,,104.93,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,十三層
RPQSMLPLNHMFFBB38CA,,76.54,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPTOMLQLNHMFFBB38CA,1,83.58,見其它登記事項,鋼筋混凝土造,104年12月28日,十四層,十層
RPTOMLQLNHMFFBB38CA,1,47.00,見其它登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPTOMLQLNHMFFBB38CA,1,16.77,見其它登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPSQMLQLNHMFFBB48CA,9,87.86,住家用,鋼筋混凝土造,97年1月22日,十五層,六層
RPSQMLQLNHMFFBB48CA,9,42.97,共有部份,鋼筋混凝土造,97年1月22日,十五層,
RPSQMLQLNHMFFBB48CA,9,18.20,共有部份,鋼筋混凝土造,97年1月22日,十五層,
RPOOMLMJNHMFFCB37CA,21,77.37,住家用,鋼筋混凝土造,85年1月19日,十四層,四層
RPOOMLMJNHMFFCB37CA,21,43.17,共有部分,鋼筋混凝土造,85年1月19日,十四層,
RPUNMLMJNHMFFCB87CA,24,15.78,住家用,鋼筋混凝土造,82年9月20日,十二層,十一層
RPUNMLMJNHMFFCB87CA,24,8.99,共有部分,鋼筋混凝土造,82年9月20日,十二層,
RPUNMLMJNHMFFCB87CA,24,15.32,住家用,鋼筋混凝土造,82年9月20日,十二層,十一層
RPUNMLMJNHMFFCB87CA,24,8.69,共有部分,鋼筋混凝土造,82年9月20日,十二層,
RPOQMLMJNHMFFCB57CA,23,113.62,住家用,鋼筋混凝土造,83年7月21日,二十四層,十層
RPOQMLMJNHMFFCB57CA,23,41.90,共有部分,鋼筋混凝土造,83年7月21日,二十四層,
RPSNMLNJNHMFFCB77CA,9,89.38,住家用,鋼筋混凝土造,96年12月18日,十二層,十層
RPSNMLNJNHMFFCB77CA,9,61.85,見其他登記事項,鋼筋混凝土造,96年12月18日,十二層,
RPOOMLSJNHMFFCB97CA,18,239.24,住家用,鋼筋混凝土造,88年7月26日,十四層,九層 十層
RPOOMLSJNHMFFCB97CA,18,122.83,共有部分,鋼筋混凝土造,88年7月26日,十四層,
RPWOMLLMNHMFFBB28CA,,104.93,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,六層
RPWOMLLMNHMFFBB28CA,,76.49,見其它登記事項,鋼筋混凝土造,106年3月8日,十五層,
RPUNMLRJNHMFFCB38CA,22,152.01,住家用,鋼筋混凝土造,83年12月5日,九層,二層
RPUNMLRJNHMFFCB38CA,22,19.71,共有部分,鋼筋混凝土造,83年12月5日,九層,
RPUNMLRJNHMFFCB38CA,22,40.97,共有部分,鋼筋混凝土造,83年12月5日,九層,
RPQPMLSJNHMFFCB28CA,18,95.82,住家用,鋼筋混凝土造,88年4月29日,十四層,十層
RPQPMLSJNHMFFCB28CA,18,63.15,共有部分,鋼筋混凝土造,88年4月29日,十四層,
RPTOMLSJNHMFFCB48CA,3,65.92,住家用,鋼筋混凝土造,102年10月17日,十四層,七層
RPTOMLSJNHMFFCB48CA,3,42.33,見其他登記事項,鋼筋混凝土造,102年10月17日,十四層,
RPQNMLNJNHMFFCB57CA,5,152.09,住家用,鋼筋混凝土造,100年12月7日,二十四層,七層
RPQNMLNJNHMFFCB57CA,5,11.47,見其他登記事項,鋼筋混凝土造,100年12月7日,二十四層,
RPQNMLNJNHMFFCB57CA,5,23.03,見其他登記事項,鋼筋混凝土造,100年12月7日,二十四層,
RPQNMLNJNHMFFCB57CA,5,58.57,見其他登記事項,鋼筋混凝土造,100年12月7日,二十四層,
RPXRMLOJNHMFFCB78CA,10,79.25,住家用,鋼筋混凝土造,95年8月16日,二十二層,十層
RPXRMLOJNHMFFCB78CA,10,49.35,見其他登記事項,鋼筋混凝土造,95年8月16日,二十二層,
RPWPMLSJNHMFFCB88CA,1,149.02,見其他登記事項,鋼筋混凝土造,104年11月18日,十四層,九層
RPWPMLSJNHMFFCB88CA,1,142.26,見其他登記事項,鋼筋混凝土造,104年11月18日,十四層,
RPVOMLNJNHMFFCB18CA,6,60.61,住家用,鋼筋混凝土造,100年4月28日,十二層,五層
RPVOMLNJNHMFFCB18CA,6,46.58,見其他登記事項,鋼筋混凝土造,100年4月28日,十二層,
RPRUMLMKNHMFFCB38CA,10,109.61,住家用,鋼筋混凝土造,96年6月25日,十四層,十二層
RPRUMLMKNHMFFCB38CA,10,70.87,見其他登記事項,鋼筋混凝土造,96年6月25日,十四層,
RPPRMLTJNHMFFCB48CA,22,14.15,住家用,鋼筋混凝土造,84年4月26日,八層,七層
RPPRMLTJNHMFFCB48CA,22,6.57,共有部分,鋼筋混凝土造,84年4月26日,八層,
RPQPMLRKNHMFFCB28CA,24,75.51,住家用,鋼筋混凝土造,81年12月15日,七層,七層
RPQPMLRKNHMFFCB28CA,24,18.68,共有部分,鋼筋混凝土造,81年12月15日,七層,
RPQPMLRKNHMFFCB28CA,24,7.31,見其他登記事項,鋼筋混凝土造,81年12月15日,七層,
RPXPMLLKNHMFFCB38CA,12,96.40,住家用,鋼筋混凝土造,94年4月8日,九層,二層
RPXPMLLKNHMFFCB38CA,12,45.22,見其他登記事項,鋼筋混凝土造,94年4月8日,九層,
RPXPMLLKNHMFFCB38CA,12,3.06,見其他登記事項,鋼筋混凝土造,94年4月8日,九層,
RPXPMLLKNHMFFCB38CA,12,.25,見其他登記事項,鋼筋混凝土造,94年4月8日,九層,
RPPRMLPLNHMFFCB28CA,25,68.47,住家用,鋼筋混凝土造,81年4月30日,七層,七層
RPPRMLPLNHMFFCB28CA,25,15.12,共有部分,鋼筋混凝土造,81年4月30日,七層,
RPPOMLOKNHMFFCB77CA,23,18.11,住家用,鋼筋混凝土造,82年10月14日,十二層,三層
RPPOMLOKNHMFFCB77CA,23,8.64,共有部分,鋼筋混凝土造,82年10月14日,十二層,
RPQRMLPLNHMFFCB38CA,22,36.07,住家用,鋼筋混凝土造,84年6月21日,八層,八層
RPQRMLPLNHMFFCB38CA,22,14.94,共有部分,鋼筋混凝土造,84年6月21日,八層,
RPPPMLLMNHMFFCB77CA,22,130.54,住商用,鋼筋混凝土造,84年4月20日,十五層,一層 二層 三層 騎樓
RPPPMLLMNHMFFCB77CA,22,27.20,共有部分,鋼筋混凝土造,84年4月20日,十五層,
RPSUMLRKNHMFFCB98CA,22,209.65,住家用,鋼筋混凝土造,84年8月11日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPSUMLRKNHMFFCB98CA,22,81.87,共有部分,鋼筋混凝土造,84年8月11日,四層,
RPWOMLOLNHMFFCB58CA,9,145.42,住家用,鋼筋混凝土造,96年12月18日,十二層,六層
RPWOMLOLNHMFFCB58CA,9,64.08,見其他登記事項,鋼筋混凝土造,96年12月18日,十二層,
RPWOMLOLNHMFFCB58CA,9,46.28,見其他登記事項,鋼筋混凝土造,96年12月18日,十二層,
RPVPMLOLNHMFFCB58CA,1,164.25,見其他登記事項,鋼筋混凝土造,104年10月22日,十四層,十一層
RPVPMLOLNHMFFCB58CA,1,49.86,見其他登記事項,鋼筋混凝土造,104年10月22日,十四層,
RPVPMLOLNHMFFCB58CA,1,93.94,見其他登記事項,鋼筋混凝土造,104年10月22日,十四層,
RPPNMLOJNHMFFAL38CA,45,126.08,住家用,加強磚造,61年7月3日,002,
RPPOMLMJNHMFFAL28CA,36,90.68,住家用,加強磚造,70年3月24日,002,一層 二層 見其他登記事項
RPOOMLMJNHMFFAL18CA,27,75.30,住家用,鋼筋混凝土造,79年8月10日,005,一層
RPOOMLMJNHMFFAL18CA,27,32.72,見其他登記事項,鋼筋混凝土造,79年8月10日,005,
RPOOMLMJNHMFFAL18CA,27,6.27,共用部份,鋼筋混凝土造,79年8月10日,005,
RPPNMLRLNHMFFCB08CA,23,152.48,住家用,鋼筋混凝土造,83年3月30日,十一層,十一層
RPPNMLRLNHMFFCB08CA,23,69.72,共有部分,鋼筋混凝土造,83年3月30日,十四層,
RPTOMLTKNHMFFAL86CA,7,241.89,見其他登記事項,鋼筋混凝土造,99年1月13日,004,一層 二層 三層 四層
RPTOMLTKNHMFFAL86CA,34,2.90,住家用,加強磚造,72年10月1日,002,一層 二層 見其他登記事項
RPRNMLMJNHMFFCL58CA,3,165.43,見其他登記事項,鋼筋混凝土造,103年5月12日,003,一層 二層 三層 屋頂突出物
RPSOMLTKNHMFFAL76CA,30,84.54,住家用,加強磚造,75年11月3日,002,一層 二層 見其他登記事項
RPTNMLNJNHMFFBL78CA,21,66.96,農舍,加強磚造,84年11月2日,002,一層 二層
RPQNMLMJNHMFFBL38CA,38,129.60,住商用,鋼筋混凝土造,68年5月1日,002,一層 二層 騎樓
RPQOMLOLNHMFFAL78CA,1,158.76,見其他登記事項,鋼筋混凝土造,105年3月11日,003,一層 二層 三層 見其他登記事項
RPQNMLOLNHMFFAL68CA,11,68.19,見其他登記事項,鋼筋混凝土造,95年1月12日,013,十一層
RPQNMLOLNHMFFAL68CA,11,23.71,共用部份,鋼筋混凝土造,95年1月12日,013,
RPXOMLMJNHMFFFL96CA,2,93.61,見其他登記事項,鋼筋混凝土造,103年12月22日,016,十二層
RPXOMLMJNHMFFFL96CA,2,48.05,見其他登記事項,鋼筋混凝土造,103年12月22日,016,
RPXOMLMJNHMFFFL96CA,2,15.00,見其他登記事項,鋼筋混凝土造,103年12月22日,016,
RPWNMLNJNHMFFFL86CA,24,17.62,共有部份,鋼筋混凝土造,82年5月25日,012,
RPWNMLNJNHMFFFL86CA,24,63.82,住家用,鋼筋混凝土造,82年5月25日,012,十二層
RPPNMLRKNHMFFCL98CA,39,72.80,住家用,見其他登記事項,66年11月10日,004,四層
