鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
豐原區,房地(土地+建物),台中市豐原區向陽路173巷91~120號,7.5,住,,,1010716,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950112,72.51,2,3,1,有,無,2300000,31720,,0.0,0,,RPQNMLNKQHHFFAL28CA
豐原區,房地(土地+建物),台中市豐原區直興街129巷1~30號,3.0,商,,,1010724,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841020,16.41,1,0,1,有,有,700000,42657,,0.0,0,,RPQOMLLLQHHFFAL28CA
豐原區,房地(土地+建物),台中市豐原區中正路212巷31~60號,73.0,商,,,1010717,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0701218,222.23,6,3,4,有,無,8000000,35999,,0.0,0,,RPQNMLOLQHHFFAL48CA
大甲區,土地,渭水段121~150地號,16.84,,特定農業區,農牧用地,1010621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28123,1670,,0.0,0,,RPPNMLQJQHHFFBL58DA
大里區,土地,金城段1261~1290地號,119.61,工,,,1010703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5680318,47490,,0.0,0,,RPPNMLPKQHHFFGL09DA
霧峰區,土地,舊正西段301~330地號,347.2,,特定農業區,農牧用地,1010716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1319347,3800,,0.0,0,,RPPNMLKLQHHFFGL68DA
霧峰區,土地,舊正西段301~330地號,347.2,,特定農業區,農牧用地,1010716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1319347,3800,,0.0,0,,RPQNMLKLQHHFFGL78DA
大里區,房地(土地+建物),台中市大里區亞洲街121~150號,94.52,住,,,1010706,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0741125,119.15,2,1,2,有,無,2066696,17345,,0.0,0,一等親買賣,RPXNMLOJRHHFFGL17DA
烏日區,房地(土地+建物)+車位,台中市烏日區中山路一段541~570號,13.19,住,,,1010723,土地1建物2車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850328,90.31,3,2,2,有,有,3050000,33772,坡道機械,0.0,0,,RPQPMLQJRHHFFGL86DA
新社區,房地(土地+建物),台中市新社區中和街四段380巷1~30號,90.91,其他,,,1010601,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0840306,158.55,3,2,2,有,無,4600000,29013,,0.0,0,,RPPNMLPJRHHFFEL88DA
大甲區,房地(土地+建物),台中市大甲區中山路一段908巷1~30號,179.0,工,,,1010722,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0811119,261.51,4,2,2,有,無,9000000,34416,,0.0,0,自備款部份買賣雙方因有借貸關係付款方式雙方自行調解處理,RPPNMLKMQHHFFBL28DA
太平區,房地(土地+建物),台中市太平區光興路2140巷20弄1~30號,83.08,住,山坡地保育區,丙種建築用地,1010702,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701111,83.16,3,1,2,有,無,1980000,23810,,0.0,0,,RPQNMLKKQHHFFHL78DA
豐原區,房地(土地+建物),台中市豐原區豐東路211~240號,107.59,住,,,1010726,土地3建物2車位0,一層，二層，三層，四層，騎樓，地下一層,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990208,317.73,4,2,6,有,有,18250000,57438,,0.0,0,,RPPNMLRJQHHFFAL48CA
西屯區,土地,中正段61~90地號,152.0,住,,,1010710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,85526,,0.0,0,,RPRNMLRJQHHFFCB87CA
南屯區,房地(土地+建物),台中市南屯區南屯路二段1~30號,64.5,其他,,,1010716,土地2建物1車位0,一層，二層，三層，四層，騎樓，地下層,四層,其他,見其他登記事項,鋼筋混凝土造,0690823,129.19,3,1,4,有,無,4800000,37155,,0.0,0,,RPQNMLTJQHHFFCB97CA
南屯區,房地(土地+建物),台中市南屯區精誠路754巷1~30號,44.0,其他,,,1010716,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0691203,91.69,4,2,3,有,無,4800000,52350,,0.0,0,,RPRNMLTJQHHFFCB08CA
南屯區,房地(土地+建物),台中市南屯區南屯路二段241~270號,7.21,住,,,1010712,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821018,109.25,2,2,2,有,有,4100000,37528,,0.0,0,,RPXNMLNLQHHFFCB28CA
西屯區,房地(土地+建物),台中市西屯區天水西六街1~30號,18.23,住,,,1010701,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750117,93.51,3,2,2,有,有,2370000,25346,,0.0,0,,RPORMLLMQHHFFCB67CA
西屯區,房地(土地+建物),台中市西屯區湳子巷31~60號,7.64,其他,,,1010717,土地2建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780224,36.41,0,1,1,有,無,1400000,38452,,0.0,0,,RPPRMLLMQHHFFCB77CA
西屯區,房地(土地+建物),台中市西屯區湳子巷61~90號,5.88,其他,,,1010717,土地2建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780224,30.28,0,1,1,有,無,1400000,46237,,0.0,0,,SPPRMLLMQHHFFCB87CA
南屯區,房地(土地+建物)+車位,台中市南屯區東興東街61~90號,24.6,住,,,1010713,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830503,220.78,4,2,2,有,有,7610000,34468,坡道機械,0.0,0,,RPWNMLPJRHHFFCB28CA
北屯區,房地(土地+建物),台中市北屯區衛道路61~90號,22.45,住,,,1010711,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750130,98.29,3,2,2,有,無,3100000,31539,,0.0,0,,RPSNMLLMQHHFFBB57CA
北屯區,房地(土地+建物)+車位,台中市北屯區長生一街61~90號,16.28,其他,,,1010724,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960322,70.79,3,2,2,有,有,6200000,87583,坡道平面,0.0,0,,RPQNMLTJQHHFFBB87CA
北區,房地(土地+建物),台中市北區五常街361~390號,3.06,商,,,1010725,土地1建物1車位0,三層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971128,33.129999999999995,1,0,1,有,有,1500000,45280,,0.0,0,,RPUNMLTJQHHFFBB28CA
北區,房地(土地+建物),台中市北區梅亭街31~60號,29.77,住,,,1010718,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770822,113.3,3,2,2,有,有,3650000,32215,,0.0,0,,RPWNMLLLQHHFFBB87CA
北區,房地(土地+建物)+車位,台中市北區文昌東一街91~120號,14.43,住,,,1010609,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890219,145.9,3,2,2,有,無,5620000,38521,坡道機械,15.85,0,,RPSOMLLLQHHFFBB57CA
北區,房地(土地+建物),台中市北區榮華街61~90號,17.68,住,,,1010714,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830131,130.27,3,2,2,有,有,4500000,34544,,0.0,0,,RPSOMLNLQHHFFBB77CA
南區,房地(土地+建物),台中市南區南平路211~240號,7.55,住,,,1010715,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800917,89.55999999999999,2,2,1,有,無,2480000,27691,,0.0,0,,RPQNMLSJQHHFFAB67CA
中區,房地(土地+建物),台中市中區民權路151~180號,1.93,商,,,1010621,土地2建物1車位0,二十二層,二十八層,套房(1房1廳1衛),住家用,見其他登記事項,0860131,37.55,1,0,1,有,有,800000,21302,,0.0,0,,RPRNMLTJQHHFFAB87CA
西區,房地(土地+建物),台中市西區美村路一段571~600號,9.93,住,,,1010712,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860104,62.17,2,1,1,有,有,4600000,73991,,0.0,0,,RPWNMLKKQHHFFAB57CA
西區,房地(土地+建物),台中市西區美村路一段571~600號,15.02,住,,,1010712,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860104,88.94,2,2,2,有,有,7400000,83202,,0.0,0,,SPWNMLKKQHHFFAB67CA
西區,房地(土地+建物),台中市西區美村路一段83巷1~30號,94.0,商,,,1010716,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0641001,210.28,5,1,4,有,無,14800000,70382,,0.0,0,,RPUNMLKLQHHFFAB47CA
南區,房地(土地+建物)+車位,台中市南區工學二街151巷1~30號,18.08,住,,,1010701,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,125.91,2,2,2,有,有,4460000,35422,坡道平面,25.05,0,,RPUNMLNJRHHFFAB67CA
潭子區,土地,僑忠段1~30地號,131.75,農,,,1010720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1520395,11540,,0.0,0,,RPPNMLKKQHHFFFL38CA
潭子區,房地(土地+建物),台中市潭子區甘水路二段61~90號,127.39,住,,,1010617,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960314,188.54,3,2,3,有,無,9000000,47735,,0.0,0,,RPWNMLKLQHHFFFL56CA
大雅區,房地(土地+建物),台中市大雅區神林南路155巷1弄1~30號,127.0,住,,,1010718,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691020,157.52,1,1,2,有,無,5200000,33012,,0.0,0,,RPQNMLLLQHHFFFL68CA
大雅區,房地(土地+建物),台中市大雅區永和路1~30號,76.93,,特定農業區,甲種建築用地,1010723,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0910806,195.99,3,1,3,有,無,6800000,34696,,0.0,0,,RPVNMLNLQHHFFFL76CA
潭子區,土地,嘉豐段481~510地號,690.25,農,,,1010727,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13572000,19662,,0.0,0,,RPQNMLOJRHHFFFL88CA
東勢區,土地,東勢段石角小段331~360地號,2991.0,,山坡地保育區,農牧用地,1010806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,334,,0.0,0,,RPSNMLTLQHHFFEL96CA
清水區,房地(土地+建物),台中市清水區信義一街31~60號,125.6,住,,,1010709,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1000811,197.48,4,3,3,有,有,8000000,40510,,0.0,0,,RPTNMLOKQHHFFCL88CA
龍井區,房地(土地+建物),台中市龍井區龍新路153巷32之16弄1~30號,84.0,住,,,1010718,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750625,123.28,4,2,3,有,無,2950000,23929,,0.0,0,,RPXNMLPKQHHFFCL76CA
龍井區,房地(土地+建物)+車位,台中市龍井區竹師路一段3巷1~30號,24.0,住,,,1010725,土地2建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880211,65.54,3,1,2,有,無,1700000,25938,坡道平面,0.0,0,,RPOOMLPKQHHFFCL58CA
龍井區,房地(土地+建物),台中市龍井區東海街65巷1~30號,38.07,,山坡地保育區,丙種建築用地,1010716,土地1建物1車位0,四層，電梯樓梯間,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0691227,83.65,3,1,1,有,無,900000,10759,,0.0,0,,RPXNMLQKQHHFFCL86CA
清水區,房地(土地+建物)+車位,台中市清水區建國路121~150號,53.51,住,,,1010717,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940927,179.81,3,2,2,有,有,3330000,18520,坡道平面,0.0,0,,RPVNMLLLQHHFFCL88CA
大肚區,土地,追分段961~990地號,900.0,農,,,1010803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4320000,4800,,0.0,0,,RPPNMLTJQHHFFCL88CA
清水區,房地(土地+建物),台中市清水區中央路31~60號,106.0,住,,,1010628,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691126,123.0,4,2,3,有,無,3700000,30081,,0.0,0,,RPPNMLSLQHHFFCL98CA
大肚區,房地(土地+建物),台中市大肚區自由路121~150號,169.81,住,,,1010710,土地1建物1車位0,一層，二層，三層，屋頂突出物，騎樓,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000623,300.75,5,1,2,有,無,10000000,33250,,0.0,0,,RPPPMLKKRHHFFCL38CA
大肚區,土地,王田段301~330地號,1421.0,農,,,1010615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,3237,,0.0,0,,RPQPMLKKRHHFFCL48CA
大甲區,土地,福順段331~360地號,4216.82,農,特定農業區,農牧用地,1010706,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,1802,,0.0,0,,RPQNMLSJQHHFFBL78CA
大甲區,房地(土地+建物),台中市大甲區南北四路1~30號,94.53,,特定農業區,甲種建築用地,1010721,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840821,161.48,5,2,3,有,無,3900000,24152,,0.0,0,,RPPNMLOKQHHFFBL38CA
外埔區,土地,二崁段421~450地號,865.96,,特定農業區,農牧用地,1010806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,5197,,0.0,0,,RPQNMLNJRHHFFBL38CA
烏日區,土地,螺潭段241~270地號,498.0,,特定農業區,農牧用地,1010806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5720000,11486,,0.0,0,,RPSNMLQKQHHFFGL76CA
大里區,土地,大元段811~840地號,11.54,住,,,1010716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,366534,31762,,0.0,0,,RPPNMLNKQHHFFGL78CA
烏日區,土地,高鐵段511~540地號,217.08,其他,,,1010727,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4688900,21600,,0.0,0,,RPUNMLRLQHHFFGL17CA
霧峰區,土地,霧工段241~270地號,340.97,住,特定農業區,農牧用地,1010720,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,58657,,0.0,0,,RPUOMLPJRHHFFGL96CA
霧峰區,建物,台中市霧峰區福新路271~300號,0.0,,,,1010720,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960824,358.43,5,2,5,有,無,8000000,22320,,0.0,0,,RPVOMLPJRHHFFGL07CA
南區,房地(土地+建物),台中市西區工學路19巷1~30號,51.0,住,工業區,,1010715,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0811123,123.37,5,1,1,有,無,6300000,51066,,0.0,0,,RPWNMLLMQHHFFAB97DA
北屯區,房地(土地+建物),台中市北屯區文昌東九街31~60號,25.3,住,,,1010619,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741105,74.36,3,2,1,有,無,1850000,24879,,0.0,0,,RPPNMLRJQHHFFBB67DA
北區,房地(土地+建物)+車位,台中市北區太原路二段61~90號,26.98,商,,,1010629,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010213,229.19,4,2,2,有,有,13780000,60125,坡道平面,0.0,0,,RPQNMLRJQHHFFBB77DA
北屯區,房地(土地+建物),台中市北屯區瀋陽路二段31~60號,31.58,商,,,1010720,土地1建物3車位0,一層，二層,十四層,店面(店鋪),住商用,鋼筋混凝土造,0831020,188.06,0,0,0,無,有,13700000,72850,,0.0,0,,RPTNMLPKQHHFFBB97DA
北區,房地(土地+建物),台中市北區三民路三段315巷1~30號,24.63,住,,,1010701,土地5建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680414,78.84,3,2,2,有,無,2000000,25368,,0.0,0,,RPUPMLNJRHHFFBB08DA
西屯區,房地(土地+建物),台中市西屯區工業區38路40巷1~30號,6.22,其他,,,1010721,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830617,20.92,1,0,1,有,無,750000,35851,,0.0,0,,RPTNMLKKQHHFFCB57DA
南屯區,房地(土地+建物),台中市南屯區大墩五街181~210號,104.0,住,,,1010709,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700804,196.85,4,2,4,有,無,18500000,93980,,0.0,0,,RPXNMLRLQHHFFCB78DA
西屯區,房地(土地+建物),台中市西屯區甘肅路一段1~30號,2.52,住,,,1010726,土地1建物2車位0,八層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860203,37.35,1,0,1,無,有,1000000,26772,,0.0,0,,RPQNMLNKQHHFFCB57DA
南屯區,房地(土地+建物),台中市南屯區大業路571~600號,13.92,住,,,1010712,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940811,141.32999999999998,3,2,2,有,有,9700000,68632,,0.0,0,,RPOOMLNKQHHFFCB47DA
北屯區,土地,仁德段181~210地號,399.5,其他,,,1010723,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11018477,27581,,0.0,0,,RPXPMLNJRHHFFBB38DA
北區,土地,乾溝子段181~210地號,92.93,其他,,,1010723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11943809,128520,,0.0,0,,RPRQMLNJRHHFFBB87DA
北區,房地(土地+建物)+車位,台中市北區英才路361~390號,0.06,商,,,1010719,土地1建物1車位1,一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990917,0.03,0,0,0,無,有,900000,26557377,坡道平面,0.0,0,,RPVOMLLLQHHFFBB97DA
北屯區,房地(土地+建物),台中市北屯區中港巷1弄1~30號,152.0,住,,,1010713,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0611120,72.27,3,2,2,有,無,5517600,76347,,0.0,0,,RPTPMLTLQHHFFBB68DA
北屯區,房地(土地+建物),台中市北屯區旱溪西路三段286巷48弄31~60號,68.0,住,,,1010704,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0921204,157.88,4,2,3,有,無,8000000,50671,,0.0,0,,RPUNMLPKQHHFFBB08DA
北屯區,房地(土地+建物)+車位,台中市北屯區九龍街31~60號,28.58,住,,,1010723,土地1建物1車位1,一層，二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811015,160.98,5,2,2,有,有,6780000,42117,坡道平面,10.2,0,,RPOOMLPKQHHFFBB57DA
北區,房地(土地+建物),台中市北區德化街31~60號,17.93,住,,,1010727,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680109,94.73,3,2,2,有,無,2100000,22168,,0.0,0,,RPWOMLPKQHHFFBB38DA
北區,房地(土地+建物)+車位,台中市北區太原路二段61~90號,21.53,商,,,1010708,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010213,168.78,3,2,2,有,有,11000000,65175,坡道平面,0.0,0,,RPPNMLSJQHHFFBB77DA
北區,房地(土地+建物),台中市北區英士路66巷1~30號,92.0,住,,,1010707,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0751124,215.22,12,1,7,有,無,9800000,45535,,0.0,0,,RPQNMLSJQHHFFBB87DA
西屯區,房地(土地+建物)+車位,台中市西屯區西屯路三段宏福三巷4弄1~30號,9.42,住,,,1010720,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800723,95.87,2,2,1,有,有,5000000,52157,坡道機械,0.0,0,,RPSNMLRJQHHFFCB08DA
南屯區,土地,春社段511~540地號,64.0,住,,,1010702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2688000,42000,,0.0,0,,RPPNMLSJQHHFFCB87DA
西區,房地(土地+建物)+車位,台中市西區忠明南路91~120號,14.19,住,,,1010629,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,155.71,3,2,2,有,有,10500000,67433,坡道平面,0.0,0,,RPRNMLSJQHHFFAB87DA
西區,土地,麻園頭段1~30地號,304.97,其他,,,1010719,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39464966,129405,,0.0,0,,RPQNMLQKQHHFFAB67DA
南區,房地(土地+建物),台中市南區復興路二段151巷1~30號,24.75,其他,,,1010717,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671218,74.22,3,2,1,有,無,2100000,28294,,0.0,0,,RPTONLTLQHHFFAB58DA
南區,房地(土地+建物),台中市南區福田二街91~120號,29.92,住,,,1010711,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820311,170.57,3,1,2,有,有,4500000,26382,,0.0,0,,RPPOMLMKRHHFFAB37DA
大里區,房地(土地+建物)+車位,台中市大里區中興路一段382巷61~90號,14.7,住,,,1010723,土地1建物2車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820916,118.02,2,2,2,有,有,2555000,21650,升降機械,0.0,0,,RPPNMLRLQHHFFGL66CA
大里區,房地(土地+建物)+車位,台中市大里區德芳路二段61~90號,33.86,住,,,1010719,土地1建物2車位1,十二層，十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810512,174.67,4,3,2,有,有,5500000,31489,坡道平面,0.0,0,,RPXOMLRLQHHFFGL57CA
烏日區,土地,五張犁段31~60地號,104.5,農,特定農業區,農牧用地,1010518,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460000,4402,,0.0,0,,RPPOMLTLQHHFFGL96CA
大里區,房地(土地+建物),台中市大里區中湖路130巷1~30號,9.68,住,,,1010711,土地1建物1車位0,一層，騎樓,十三層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0950111,66.63,2,2,1,有,有,2100000,31517,,0.0,0,,RPQNMLLJRHHFFGL68CA
大里區,房地(土地+建物),台中市大里區中湖路130巷1~30號,9.56,住,,,1010711,土地1建物1車位0,一層，騎樓,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950111,65.78999999999999,2,2,1,有,有,2040000,31006,,0.0,0,,RPRNMLLJRHHFFGL78CA
大里區,房地(土地+建物),台中市大里區新忠路1~30號,25.6,住,,,1010716,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690105,61.22,2,1,1,有,無,1800000,29402,,0.0,0,,RPQNMLNKQHHFFGL88CA
大里區,房地(土地+建物),台中市大里區美群路181~210號,105.4,,鄉村區,乙種建築用地,1010721,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0690209,122.85,0,1,2,無,無,6200000,50468,,0.0,0,,RPSNMLKKQHHFFGL78CA
大里區,土地,仁城段1081~1110地號,3.31,,鄉村區,乙種建築用地,1010730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,39323,,0.0,0,,RPPNMLOKQHHFFGL88CA
大里區,土地,仁城段1081~1110地號,3.31,,鄉村區,乙種建築用地,1010730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,39323,,0.0,0,,RPRNMLOKQHHFFGL09CA
太平區,房地(土地+建物),台中市太平區中山路二段91~120號,190.57,其他,鄉村區,乙種建築用地,1010716,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0680730,126.04,9,1,10,有,無,13000000,103142,,0.0,0,,RPPNMLSJQHHFFHL66CA
太平區,房地(土地+建物),台中市太平區永成北路128巷33弄1~30號,113.29,住,,,1010722,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0980320,189.45,4,2,3,有,無,9880000,52151,,0.0,0,,RPPNMLKLQHHFFHL68CA
大甲區,土地,義水段121~150地號,169.16,農,,,1010709,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4050000,23942,,0.0,0,,RPQNMLLMQHHFFBL38CA
