鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
礁溪鄉,房地(土地+建物),公園段31~60地號,9.33,其他,,,1041112,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.43,0,0,0,無,無,7500000,120135,,0.0,0,,RPTVMLOLJHMFFBG09CB
礁溪鄉,房地(土地+建物),公園段31~60地號,9.01,其他,,,1041206,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,56.62,0,0,0,無,無,6860000,121159,,0.0,0,,RPVVMLOLJHMFFBG66CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1041206,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6070000,121061,,0.0,0,,RPWVMLOLJHMFFBG76CB
礁溪鄉,房地(土地+建物),公園段31~60地號,10.07,其他,,,1050106,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0,0,0,無,無,8750000,122429,,0.0,0,,RPXVMLOLJHMFFBG86CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.95,其他,,,1040428,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.36,0,0,0,無,無,12250000,131213,,0.0,0,,RPOWMLOLJHMFFBG68CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.95,其他,,,1041222,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.36,0,0,0,無,無,11300000,121037,,0.0,0,,RPPWMLOLJHMFFBG78CB
礁溪鄉,房地(土地+建物),公園段31~60地號,9.01,其他,,,1050129,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,56.62,0,0,0,無,無,6680000,117980,,0.0,0,,RPSWMLOLJHMFFBG09CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.95,其他,,,1050216,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.84,0,0,0,無,無,11100000,118286,,0.0,0,,RPUWMLOLJHMFFBG66CB
礁溪鄉,房地(土地+建物),公園段31~60地號,9.01,其他,,,1050226,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,56.62,0,0,0,無,無,7000000,123631,,0.0,0,,RPVWMLOLJHMFFBG76CB
礁溪鄉,房地(土地+建物),公園段31~60地號,9.33,其他,,,1050312,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.43,0,0,0,無,無,7880000,126221,,0.0,0,,RPONNLOLJHMFFBG87CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1050312,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,5620000,112086,,0.0,0,,RPPNNLOLJHMFFBG97CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.95,其他,,,1050413,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.76,0,0,0,無,無,11630000,124040,,0.0,0,,RPUNNLOLJHMFFBG48CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.95,其他,,,1050531,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.36,0,0,0,無,無,13680000,146530,,0.0,0,,RPXNNLOLJHMFFBG78CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1050531,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6400000,127643,,0.0,0,,RPOONLOLJHMFFBG97CB
礁溪鄉,房地(土地+建物),公園段31~60地號,10.07,其他,,,1050520,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0,0,0,無,無,9000000,125927,,0.0,0,,RPPONLOLJHMFFBG08CB
礁溪鄉,房地(土地+建物),公園段31~60地號,9.01,其他,,,1050530,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,56.62,0,0,0,無,無,6880000,121512,,0.0,0,,RPQONLOLJHMFFBG18CB
礁溪鄉,房地(土地+建物),公園段31~60地號,10.07,其他,,,1050530,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0,0,0,無,無,8700000,121729,,0.0,0,,RPRONLOLJHMFFBG28CB
礁溪鄉,房地(土地+建物),公園段31~60地號,10.07,其他,,,1050719,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0,0,0,無,無,8500000,118931,,0.0,0,,RPOPNLOLJHMFFBG08CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1050813,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6580000,131233,,0.0,0,,RPSPNLOLJHMFFBG48CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1050813,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6580000,131233,,0.0,0,,RPTPNLOLJHMFFBG58CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1051002,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6200000,123654,,0.0,0,,RPXPNLOLJHMFFBG98CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.95,其他,,,1051011,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.84,0,0,0,無,無,11350000,120951,,0.0,0,,RPOQNLOLJHMFFBG18CB
礁溪鄉,房地(土地+建物),公園段31~60地號,14.42,其他,,,1051109,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.43,0,0,0,無,無,13320000,130040,,0.0,0,,RPRQNLOLJHMFFBG48CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1051110,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6500000,129637,,0.0,0,,RPSQNLOLJHMFFBG58CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1051110,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6500000,129637,,0.0,0,,RPTQNLOLJHMFFBG68CB
礁溪鄉,房地(土地+建物),公園段31~60地號,7.85,其他,,,1051230,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.14,0,0,0,無,無,6050000,120662,,0.0,0,,RPORNLOLJHMFFBG28CB
