鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉壯濱路一段61~90號,102.2,,一般農業區,甲種建築用地,1020116,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701230,125.64,2,1,2,有,無,3000000,23878,,0.0,0,,RPVNMLSJKHIFFBG28CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉大鬮路31~60號,1783.24,,特定農業區,農牧用地,1020117,土地1建物1車位0,一層，二層,二層,農舍,農舍,鋼筋混凝土造,0980715,269.95,4,1,4,有,無,23500000,,,0.0,0,,RPUNMLSKKHIFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿泰山路100巷1~30號,27.37,住,,,1020107,土地1建物1車位0,二層，騎樓，一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851004,142.93,3,2,2,有,無,6160000,43098,,0.0,0,,RPRNMLKLKHIFFBG27CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿宜中路61~90號,146.0,住,,,1020121,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0790306,200.24,5,2,6,有,無,17500000,87395,,0.0,0,,RPVNMLOJKHIFFBG97DA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿宜中路79巷1~30號,26.0,住,,,1020106,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830609,142.65,3,2,2,有,有,4580000,32107,,0.0,0,,RPVNMLPJKHIFFBG08DA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭巿校舍路29巷107弄1~30號,24.72,住,,,1020125,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871119,164.04000000000002,3,2,2,有,有,4800000,29261,坡道平面,0.0,0,,RPWNMLPJKHIFFBG18DA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇港路181~210號,18.15,住,,,1011229,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910221,133.1,3,1,2,有,有,2250000,16905,,0.0,0,,RPSNMLLJKHIFFAG37EA
蘇澳鎮,土地,永樂段841~870地號,1979.4,,山坡地保育區,農牧用地,1020117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,758,,0.0,0,,RPSOMLOJKHIFFAG77EA
五結鄉,土地,百松段121~150地號,752.75,,特定農業區,農牧用地,1011229,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,2391,,0.0,0,,RPRPMLPJKHIFFAG87EA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結中路二段368巷17弄1~30號,95.47,,特定農業區,甲種建築用地,1020115,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820422,151.95,3,1,2,有,無,3360000,22113,,0.0,0,1.權利人共2人  2.本案有未保存登記之建物一樓至二樓增建部分。,RPUNMLQJKHIFFAG08EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮民意街91~120號,79.0,住,,,1020118,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0611030,93.16,5,2,3,有,無,7550000,81043,,0.0,0,增建106.94平方公尺。,RPTOMLRJKHIFFAG18EA
五結鄉,房地(土地+建物),宜蘭縣五結鄉中正路三段47巷10弄151~180號,85.68,住,,,1020121,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0860805,170.81,4,2,3,有,無,5000000,29272,,0.0,0,,RPUNMLLJLHIFFAG67EA
宜蘭市,土地,新張段811~840地號,2531.0,,特定農業區,農牧用地,1020130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10335900,4084,,0.0,0,,RPXOMLPJKHIFFBG48EA
員山鄉,土地,枕山段61~90地號,1003.31,,,,1020121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2407944,2400,,0.0,0,,RPXOMLOJKHIFFBG38EA
員山鄉,土地,枕山段61~90地號,266.73,,一般農業區,農牧用地,1020121,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,640152,2400,,0.0,0,,RPPPMLOJKHIFFBG67EA
員山鄉,土地,枕山段61~90地號,602.06,,,,1020121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1444944,2400,,0.0,0,,RPQPMLOJKHIFFBG77EA
員山鄉,土地,枕山段61~90地號,8.01,,一般農業區,農牧用地,1020121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19224,2400,,0.0,0,,RPRPMLOJKHIFFBG87EA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭巿泰山路181~210號,34.85,住,,,1020128,土地2建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941011,141.0,3,1,1,有,有,2000000,14184,升降機械,0.0,0,親戚間買賣,RPWNMLPJKHIFFBG28EA
礁溪鄉,土地,五峰段1171~1200地號,21.8,其他,,,1020131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1530000,70183,,0.0,0,,RPOOMLPJKHIFFBG57EA
宜蘭市,土地,梅洲段571~600地號,14.0,,特定農業區,甲種建築用地,1020131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,211750,15125,,0.0,0,,RPPOMLPJKHIFFBG67EA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中央路二段336巷1~30號,143.56,住,,,1011230,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0990716,203.51,4,2,4,有,無,6380000,31350,,0.0,0,,RPSOMLPJKHIFFBG97EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿慈安路80巷3弄1~30號,68.0,住,,,1011224,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0651124,88.66,3,1,2,有,無,4000000,45116,,0.0,0,,RPUOMLPJKHIFFBG18EA
頭城鎮,土地,大坑罟段151~180地號,6.75,住,,,1020130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,22222,,0.0,0,,RPOOMLQJKHIFFBG67EA
宜蘭市,土地,建業段541~570地號,1618.81,住,,,1020124,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,68000000,42006,,0.0,0,,RPUNMLPLKHIFFBG28EA
宜蘭市,土地,建業段511~540地號,1174.07,住,,,1020124,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49700000,42331,,0.0,0,,RPPNMLOJLHIFFBG57EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮康莊路61~90號,140.17,住,,,1020125,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1000211,262.14,5,2,6,有,無,14880000,56764,,0.0,0,,RPOPMLPJKHIFFAG57EA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結路二段358巷1~30號,163.86,住,,,1020116,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010912,344.8,5,1,5,有,無,12800000,37123,,0.0,0,,RPQPMLPJKHIFFAG77EA
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威南路1~30號,14.09,,特定農業區,甲種建築用地,1020111,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840524,52.269999999999996,1,1,1,有,無,950000,18175,,0.0,0,,RPXNMLRJKHIFFAG48EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮成功街151~180號,23.86,住,,,1020102,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840215,114.33,3,2,3,有,無,4220000,36911,,0.0,0,,RPOPMLQJKHIFFAG67EA
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉興安路57巷1~30號,40.5,,鄉村區,乙種建築用地,1020105,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850320,97.64,3,1,2,有,無,2680000,27448,坡道平面,0.0,0,,RPOOMLOJKHIFFAG37EA
五結鄉,土地,學新段691~720地號,551.86,其他,,,1011228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4173441,7562,,0.0,0,,RPSNMLLLKHIFFAG57EA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭巿東港路34巷1~30號,18.1,住,,,1020104,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840410,85.03,2,1,2,有,有,1820000,21404,坡道平面,0.0,0,,RPPNMLRJKHIFFBG67DA
礁溪鄉,土地,得石新段871~900地號,4698.75,,山坡地保育區,農牧用地,1020125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10660000,2269,,0.0,0,,RPOPMLOJKHIFFBG47DA
員山鄉,房地(土地+建物),宜蘭縣員山鄉金古一路102巷18弄1~30號,120.0,,特定農業區,甲種建築用地,1020122,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010904,245.16,4,2,3,有,無,8500000,34671,,0.0,0,,RPSPMLOJKHIFFBG87DA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路三段151~180號,88.0,住,,,1020128,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0960109,217.07,5,2,5,有,無,15280000,70392,,0.0,0,,RPTNMLPJKHIFFBG87DA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉礁溪路五段90巷1~30號,11.35,住,,,1011231,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840110,55.9,1,1,1,有,無,2970000,53131,,0.0,0,,RPPNMLTKKHIFFBG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿農權路三段42巷1~30號,25.0,商,,,1020124,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760305,88.74,3,2,2,有,無,3400000,38314,,0.0,0,,RPSNMLNLKHIFFBG67CA
宜蘭市,土地,坤門二段751~780地號,158.71,住,,,1011231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5520000,34780,,0.0,0,,RPPOMLSJKHIFFBG77CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉化龍街1~30號,6.05,住,,,1020123,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821030,51.67,0,0,1,無,無,1050000,20321,,0.0,0,,RPXOMLSJKHIFFBG58CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路三段61~90號,22.55,住,,,1020126,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830509,123.78,3,1,2,有,有,4400000,35547,,0.0,0,,RPQNMLRKKHIFFBG77CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路62巷1~30號,13.07,住,,,1020129,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981008,60.45,0,0,1,無,無,4580000,75765,,0.0,0,,RPQNMLPJKHIFFBG47CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉中山路一段301~330號,13.13,住,,,1020121,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,63.04,0,0,1,無,無,2130000,33788,,0.0,0,,RPUNMLPJKHIFFBG87CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉仁愛路31~60號,8.48,住,,,1020127,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851014,49.92,1,1,1,有,有,2630000,52684,,0.0,0,,RPPOMLPJKHIFFBG47CA
頭城鎮,土地,更新段721~750地號,5315.59,其他,,,1020122,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,455000,86,,0.0,0,農保買賣,RPSOMLPJKHIFFBG77CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉忠孝路1巷1~30號,15.0,住,,,1020125,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0971107,68.89,3,2,2,有,有,7200000,104514,,0.0,0,,RPUOMLPJKHIFFBG97CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿東港路66巷17弄1~30號,37.26,住,,,1020116,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830319,107.95,3,2,2,有,無,2500000,23159,,0.0,0,,RPUOMLQJKHIFFBG08CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉奇峰街1~30號,24.63,住,,,1020124,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711026,83.51,3,1,1,有,無,1520000,18201,,0.0,0,,RPWOMLQJKHIFFBG28CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威南路1~30號,19.49,,特定農業區,甲種建築用地,1020116,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840524,70.89,1,1,1,有,有,1280000,18056,,0.0,0,,RPRNMLLLKHIFFAG27CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大義路91~120號,2970.0,,特定農業區,農牧用地,1011031,土地2建物1車位0,一層,一層,農舍,農舍,見其他登記事項,0880204,324.8,0,1,1,無,無,10000000,,,0.0,0,,RPTNMLLLKHIFFAG47CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉西河路1~30號,107.76,住,,,1020120,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1011212,201.48,4,2,3,有,無,8500000,42188,,0.0,0,,RPXNMLTKKHIFFAG58CA
羅東鎮,土地,維揚段451~480地號,1367.0,住,,,1011220,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64354855,47077,,0.0,0,,RPOOMLTKKHIFFAG77CA
羅東鎮,土地,國華段451~480地號,267.0,住,,,1011222,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16961070,63525,,0.0,0,,RPWOMLQJKHIFFAG18CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路31~60號,16.86,住,,,1020123,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821231,138.79,3,2,2,有,有,3500000,25218,,0.0,0,,RPVQMLRJKHIFFAG38CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉季水路清水一巷1弄31~60號,51.51,,鄉村區,乙種建築用地,1020128,土地1建物1車位1,一層，二層,四層,其他,住家用,鋼筋混凝土造,0870602,149.5,4,2,2,有,無,2680000,17926,一樓平面,0.0,0,,RPWNMLSJKHIFFAG28CA
五結鄉,土地,大義段271~300地號,41.0,農,特定農業區,水利用地,1020117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,143500,3500,,0.0,0,,RPOOMLQJKHIFFAG37CA
冬山鄉,房地(土地+建物),宜蘭縣羅東鎮鹿埔路721~750號,133.12,,特定農業區,甲種建築用地,1020120,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010926,189.83,2,2,2,有,無,7800000,41089,,0.0,0,,RPOPMLPJKHIFFAG37CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉二路365巷1~30號,174.85,,一般農業區,甲種建築用地,1020108,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701103,134.24,4,2,2,有,無,5000000,37247,,0.0,0,,RPROMLPJKHIFFAG57CA
冬山鄉,土地,梅花段451~480地號,52.7,,特定農業區,農牧用地,1020119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,103600,1966,,0.0,0,,RPSOMLPJKHIFFAG67CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉三結路61~90號,122.73,農,,,1011220,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011206,216.81,5,2,5,有,無,7200000,33209,,0.0,0,,RPVNMLRLKHIFFAG28CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉三結路61~90號,119.69,農,,,1011218,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011206,216.81,5,2,5,有,無,7000000,32286,,0.0,0,,RPWNMLRLKHIFFAG38CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉三結路61~90號,176.37,農,,,1011218,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011206,270.97,5,2,5,有,無,9300000,34321,,0.0,0,,RPQOMLRLKHIFFAG87CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉三結路61~90號,120.86,農,,,1011225,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011206,219.03,5,2,5,有,無,7400000,33785,,0.0,0,,RPSOMLRLKHIFFAG08CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉三結路61~90號,117.51,農,,,1020105,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011206,216.81,5,2,5,有,無,6950000,32056,,0.0,0,,RPTOMLRLKHIFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉廣興路158巷4弄31~60號,157.6,,特定農業區,甲種建築用地,1020122,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000909,238.94,5,2,4,有,無,8680000,36327,,0.0,0,,RPRNMLQJKHIFFAG57CA
冬山鄉,土地,南富段301~330地號,998.0,,特定農業區,農牧用地,1020124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2004,,0.0,0,,RPOOMLPJKHIFFAG27CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路二段211~240號,95.55,,一般農業區,甲種建築用地,1020120,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011024,182.53,4,3,4,有,無,5750000,31502,,0.0,0,,RPSOMLQJKHIFFAG77CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路二段230巷1~30號,126.17,,一般農業區,甲種建築用地,1020122,土地5建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1011024,181.39,4,3,4,有,無,5400000,29770,,0.0,0,,RPTOMLQJKHIFFAG87CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉三吉一路219巷1~30號,136.0,,特定農業區,甲種建築用地,1020128,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0810914,156.46,3,2,3,有,無,3000000,19174,,0.0,0,,RPPPMLQJKHIFFAG57CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永興路二段美和巷1~30號,73.82,,鄉村區,乙種建築用地,1020107,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681100,100.36,0,0,2,無,無,2130000,21224,,0.0,0,,RPQPMLQJKHIFFAG67CA
五結鄉,土地,中福段121~150地號,120.0,農,,,1020121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1996500,16638,,0.0,0,,RPXPMLQJKHIFFAG38CA
三星鄉,土地,義富段301~330地號,2503.0,,特定農業區,農牧用地,1020130,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7420000,2964,,0.0,0,,RPWPMLRJKHIFFAG38CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大隱七路367巷19弄1~30號,112.0,,特定農業區,甲種建築用地,1020115,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0701204,97.96,3,2,2,有,無,2980000,30421,,0.0,0,,RPRQMLRJKHIFFAG97CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉陽明北路1~30號,16.0,住,,,1020118,土地1建物1車位0,一層，騎樓,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720607,79.8,2,2,2,有,無,3398000,42581,,0.0,0,,RPSQMLRJKHIFFAG08CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路一段1~30號,29.65,商,,,1020125,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0871117,116.38,0,0,1,無,無,3100000,26637,,0.0,0,,RPXNMLSKKHIFFAG48CA
蘇澳鎮,土地,白米甕段721~750地號,245.62,,山坡地保育區,丙種建築用地,1011222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1420000,5781,,0.0,0,,RPQOMLSJKHIFFAG77CA
三星鄉,土地,紅柴林段紅柴林小段271~300地號,796.0,,一般農業區,農牧用地,1020121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1117624,1404,,0.0,0,,RPPNMLLLKHIFFAG07CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路151~180號,21.6,住,,,1020118,土地1建物1車位0,八層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970729,61.09,0,0,1,無,有,5500000,90031,,0.0,0,,RPXOMLQJKHIFFBG38CA
宜蘭市,土地,茭白段871~900地號,564.61,農,,,1020128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,31880,,0.0,0,,RPXNMLRJKHIFFBG38CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿東港路66巷5弄1~30號,29.98,住,,,1020110,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830621,155.09,0,0,1,無,無,3100000,19988,,0.0,0,,RPPOMLRJKHIFFBG67CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉員山路一段703巷1~30號,35.24,,特定農業區,甲種建築用地,1020115,土地1建物1車位0,五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840330,94.22,0,0,2,無,無,1700000,18043,,0.0,0,,RPROMLRJKHIFFBG87CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路34巷1~30號,5.36,商,,,1020117,土地2建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971231,50.25,0,0,1,無,無,4400000,87562,,0.0,0,,RPSOMLRJKHIFFBG97CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路一段245巷80弄1~30號,148.37,住,,,1020113,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0940920,200.39,4,2,3,有,無,13200000,65872,,0.0,0,所有權人共二人,RPTOMLRJKHIFFBG08CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿農權路二段57巷31~60號,90.05,住,,,1011118,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930507,293.34,4,2,3,有,無,11650000,39715,,0.0,0,,RPXNMLSJKHIFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿慈安路1~30號,33.13,住,,,1011215,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830914,121.16,3,2,1,有,無,3100000,25586,,0.0,0,,RPTNMLQJKHIFFBG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路三段91~120號,22.07,住,,,1020128,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830509,121.28999999999999,4,0,2,有,無,4160000,34298,,0.0,0,,RPWNMLQJKHIFFBG18CA
